Wavelength	Wave_left	Wave_right	Depth	Depth_neg	Depth_pos
3.965000e+00	2.500000e-02	2.500000e-02	1.567738e+01	1.151456e+01	1.151456e+01
4.015000e+00	2.500000e-02	2.500000e-02	1.701923e+01	1.159791e+01	1.159791e+01
4.065000e+00	2.500000e-02	2.500000e-02	5.063011e+00	1.168873e+01	1.168873e+01
4.115000e+00	2.500000e-02	2.500000e-02	-8.406836e+00	1.027091e+01	1.027091e+01
4.165000e+00	2.500000e-02	2.500000e-02	-6.504607e+00	1.063435e+01	1.063435e+01
4.215000e+00	2.500000e-02	2.500000e-02	5.288118e-01	1.109960e+01	1.109960e+01
4.265000e+00	2.500000e-02	2.500000e-02	-8.747813e+00	1.112952e+01	1.112952e+01
4.315000e+00	2.500000e-02	2.500000e-02	-1.291379e+01	1.144555e+01	1.144555e+01
4.365000e+00	2.500000e-02	2.500000e-02	-1.514747e+01	1.231388e+01	1.231388e+01
4.415000e+00	2.500000e-02	2.500000e-02	-7.312110e+00	1.273502e+01	1.273502e+01
4.465000e+00	2.500000e-02	2.500000e-02	-1.352182e+01	1.344846e+01	1.344846e+01
4.515000e+00	2.500000e-02	2.500000e-02	1.423437e+00	1.401383e+01	1.401383e+01
4.565000e+00	2.500000e-02	2.500000e-02	2.443698e+01	1.533702e+01	1.533702e+01
4.615000e+00	2.500000e-02	2.500000e-02	-6.606375e+00	1.399106e+01	1.399106e+01
4.665000e+00	2.500000e-02	2.500000e-02	-1.130679e+01	1.648532e+01	1.648532e+01
4.715000e+00	2.500000e-02	2.500000e-02	1.362210e+01	1.719527e+01	1.719527e+01
4.765000e+00	2.500000e-02	2.500000e-02	5.113803e+00	1.820258e+01	1.820258e+01
4.815000e+00	2.500000e-02	2.500000e-02	3.106219e+01	1.973499e+01	1.973499e+01
4.865000e+00	2.500000e-02	2.500000e-02	-2.355207e+00	2.054529e+01	2.054529e+01
4.915000e+00	2.500000e-02	2.500000e-02	-5.724116e+00	2.249757e+01	2.249757e+01
4.965000e+00	2.500000e-02	2.500000e-02	2.499169e+01	2.609248e+01	2.609248e+01
