Wavelength	Depth	Depth_pos	Depth_neg
3.953634035830961	-37.77795620012361	15.40698858721247	15.32221266324752
3.9867125615005095	7.049132631639173	15.712931807153476	15.661387516375939
4.019786798245587	-16.07097729236836	16.523722904134456	16.44121110756918
4.052856746066192	9.777988116262108	18.15086952569523	18.170347405549045
4.085922404962327	-22.11977421796775	17.360353119113725	17.32973585580022
4.11898377493399	15.786385019946398	16.808891394094164	16.830104638653836
4.152040855981182	5.238212874788174	16.939647646167337	16.91142226352903
4.185093648103904	11.209184270035081	17.618237863482726	17.549865435828142
4.218142151302153	36.232634759861796	18.160674487233543	18.27185168769728
4.251186365575933	36.63333679543421	18.035679188860925	17.9442241929052
4.28422629092524	37.00945612860808	17.66176705034922	17.617585417131515
4.317261927350078	44.09047557460971	18.51939427486866	18.45614129074449
4.350293274850443	59.44144385838449	18.83119253503	19.005366580182667
4.383320333426337	27.966262749540476	19.648782552108656	19.599531739901362
4.41634310307776	47.13549601977743	19.383204230438373	19.36695717750744
4.449361583804712	63.64436017142534	21.863907409695663	21.785984723813947
4.482375775607192	39.609982426240535	21.459230116931693	21.32348951557514
4.515385678485202	24.75243512454839	20.891475269682708	20.697724386383904
4.54839129243874	43.60804280966832	20.891765872330467	20.646817325969582
4.581392617467808	40.90517258437387	22.2027863436713	22.208640265926146
4.6143896535724025	14.974608949768184	22.22386120904273	22.268494326590805
4.647382400752528	24.17359742627635	22.244664474393698	22.13158341587646
4.680370859008182	1.2832103082766202	24.223984812028025	24.278842792715174
4.713355028339365	-23.57412948298661	23.05234033470482	22.928166181203455
4.746334908746076	41.74578905101312	22.90228113542183	22.916889750425906
4.779310500228316	59.85884051205258	24.943791513050016	25.084362809128123
4.812281802786085	20.992950807981998	25.646436519227628	25.712169930430953
4.8452488164193825	19.2392585361725	27.26354439383745	26.96675320371175
4.878211541128209	21.43190843688764	26.061141276400875	25.960619067223504
4.910200733588897	44.68100178561294	29.66569078080753	30.373611239842628
