# T(K)	P(bar)
3380.4      	1e-08       
3380.1691809459953	1.1885022274370215e-08
3379.8262458421195	1.4125375446227554e-08
3379.3982041819118	1.6788040181225588e-08
3378.9048972082915	1.9952623149688826e-08
3378.3482841565265	2.3713737056616554e-08
3377.7381248389634	2.818382931264461e-08
3376.9670029554004	3.3496543915782795e-08
3376.040051184688	3.981071705534969e-08
3374.966281720259	4.731512589614813e-08
3373.6339169347666	5.6234132519034905e-08
3372.124856491622	6.683439175686162e-08
3370.3852251368935	7.94328234724282e-08
3368.3467578304926	9.440608762859226e-08
3365.922840329462	1.1220184543019653e-07
3363.211263690214	1.333521432163324e-07
3360.08723927174	1.584893192461114e-07
3356.5605763453987	1.883649089489802e-07
3352.6031410661953	2.2387211385683422e-07
3348.1358027696156	2.6607250597988136e-07
3343.450085651405	3.162277660168379e-07
3338.48362039177	3.7583740428844433e-07
3333.312642706611	4.466835921509635e-07
3328.055889774368	5.308844442309889e-07
3323.091643541534	6.309573444801942e-07
3318.5506547779505	7.498942093324558e-07
3314.3167608710914	8.912509381337459e-07
3310.2665551085543	1.0592537251772896e-06
3306.131503498086	1.2589254117941687e-06
3301.5559138204017	1.4962356560944327e-06
3295.8946014281587	1.7782794100389227e-06
3288.5560688410083	2.1134890398366474e-06
3278.7828370849015	2.511886431509582e-06
3265.5409945556844	2.9853826189179636e-06
3247.634151116272	3.5481338923357534e-06
3226.1718030547013	4.216965034285822e-06
3201.806854250112	5.011872336272725e-06
3176.060092616627	5.95662143529011e-06
3153.555820208119	7.079457843841388e-06
3139.2028585573576	8.413951416451948e-06
3127.519108280255	1e-05       
3116.728821869576	1.188502227437019e-05
3105.319844182865	1.4125375446227555e-05
3094.231914787858	1.678804018122562e-05
3084.217204791019	1.9952623149688786e-05
3075.267581912448	2.371373705661655e-05
3067.2836206076718	2.818382931264455e-05
3059.789327706298	3.349654391578279e-05
3052.551129229233	3.981071705534977e-05
3044.723179908702	4.731512589614803e-05
3036.1057991753773	5.623413251903491e-05
3026.52905117786	6.683439175686148e-05
3015.937449293091	7.943282347242821e-05
3004.8194377544646	9.440608762859246e-05
2992.831054783792	0.00011220184543019629
2980.1557140932077	0.0001333521432163324
2966.965887078076	0.00015848931924611142
2953.4432517388827	0.00018836490894898024
2939.004165921899	0.00022387211385683424
2923.131790214043	0.0002660725059798809
2905.437250400328	0.0003162277660168379
2885.4362721623097	0.00037583740428844437
2862.957722402867	0.0004466835921509635
2837.2423121129523	0.0005308844442309889
2807.452889693888	0.000630957344480193
2772.863506823289	0.0007498942093324559
2732.8991965276264	0.0008912509381337458
2688.844908108762	0.0010592537251772895
2641.7113759486897	0.0012589254117941673
2593.7587264331078	0.0014962356560944345
2547.8091532242665	0.0017782794100389225
2508.9912456226903	0.0021134890398366475
2478.862325473043	0.002511886431509582
2454.1812675272927	0.0029853826189179603
2434.702767603481	0.0035481338923357567
2419.783817958221	0.004216965034285822
2408.3945671152287	0.0050118723362727255
2398.897316024122	0.005956621435290103
2390.8930284286953	0.00707945784384138
2384.3552620288	0.008413951416451957
2379.2      	0.01        
2374.9683173432504	0.01188502227437019
2371.5647175685335	0.014125375446227554
2368.891918818603	0.016788040181225587
2366.7331749462664	0.01995262314968883
2364.586238889458	0.023713737056616554
2362.854843307149	0.02818382931264455
2362.2484542767816	0.033496543915782793
2363.0198976306247	0.03981071705534969
2365.2539601522553	0.04731512589614813
2368.780808113854	0.056234132519034905
2375.6482031910546	0.06683439175686148
2385.6691897523033	0.07943282347242821
2398.7896235797666	0.09440608762859228
2414.775487236173	0.11220184543019629
2434.999494608318	0.1333521432163324
2459.316103974167	0.1584893192461114
2487.2066752583996	0.18836490894898023
2518.4506567369867	0.22387211385683378
2553.072528535479	0.26607250597988086
2590.7911124509656	0.3162277660168379
2630.4269519668746	0.3758374042884443
2671.0267403384105	0.4466835921509634
2711.650642086699	0.5308844442309879
2750.5766363568623	0.630957344480193
2784.007304891464	0.7498942093324559
2812.1680511415584	0.8912509381337458
2834.188668402083	1.0592537251772898
2849.682383545811	1.2589254117941662
2857.90293449216	1.4962356560944328
2862.730708182081	1.7782794100389228
2865.471623847089	2.1134890398366473
2866.828000850943	2.511886431509582
2867.3897759885467	2.9853826189179573
2867.626485242099	3.548133892335753
2867.7      	4.216965034285823
2867.7      	5.011872336272725
2867.7      	5.956621435290109
2867.7      	7.079457843841373
2867.7      	8.413951416451948
2867.6      	10.0        
