# T(K)	P(bar)
1565.3      	1e-08       
1569.1469842334086	1.1885022274370215e-08
1573.6945515577158	1.4125375446227554e-08
1578.9551824534071	1.6788040181225588e-08
1585.0499224053144	1.9952623149688826e-08
1592.3654082285143	2.3713737056616554e-08
1599.2508611665316	2.818382931264461e-08
1604.7588023301253	3.3496543915782795e-08
1609.572055706153	3.981071705534969e-08
1614.7270073378027	4.731512589614813e-08
1619.978092080627	5.6234132519034905e-08
1625.235487928487	6.683439175686162e-08
1630.406066301617	7.94328234724282e-08
1635.3411601220644	9.440608762859226e-08
1639.8970007286764	1.1220184543019653e-07
1643.3058399323027	1.333521432163324e-07
1645.8659538361796	1.584893192461114e-07
1647.5710939064545	1.883649089489802e-07
1648.4160153381038	2.2387211385683422e-07
1648.4957892362568	2.6607250597988136e-07
1648.2811517533478	3.162277660168379e-07
1648.3020424494841	3.7583740428844433e-07
1648.731226215565	4.466835921509635e-07
1649.7351513522146	5.308844442309889e-07
1651.5474952149957	6.309573444801942e-07
1653.990144695304	7.498942093324558e-07
1656.9355451820638	8.912509381337459e-07
1659.9981114003472	1.0592537251772896e-06
1662.7502933492417	1.2589254117941687e-06
1667.015673557253	1.4962356560944327e-06
1672.6652089429042	1.7782794100389227e-06
1679.658119235447	2.1134890398366474e-06
1688.049157809437	2.511886431509582e-06
1697.9203495130355	2.9853826189179636e-06
1708.518321136558	3.5481338923357534e-06
1720.5130602319493	4.216965034285822e-06
1733.8178513350456	5.011872336272725e-06
1748.3181057477968	5.95662143529011e-06
1763.6907425338904	7.079457843841388e-06
1779.5724613714194	8.413951416451948e-06
1795.9171974522294	1e-05       
1812.6833247881034	1.188502227437019e-05
1829.9668688062657	1.4125375446227555e-05
1847.6919390363112	1.678804018122562e-05
1865.5517912164648	1.9952623149688786e-05
1883.6510306809416	2.371373705661655e-05
1901.733370605507	2.818382931264455e-05
1919.4625523563361	3.349654391578279e-05
1936.6340232114999	3.981071705534977e-05
1953.9510102938652	4.731512589614803e-05
1971.503476785392	5.623413251903491e-05
1989.2157586045446	6.683439175686148e-05
2006.4967932586405	7.943282347242821e-05
2023.0918681571732	9.440608762859246e-05
2040.1567591618088	0.00011220184543019629
2057.737857408141	0.0001333521432163324
2075.842510808841	0.00015848931924611142
2093.8464846034644	0.00018836490894898024
2111.5330696815186	0.00022387211385683424
2129.681976947953	0.0002660725059798809
2148.379340705755	0.0003162277660168379
2167.6008910651153	0.00037583740428844437
2186.2813410376175	0.0004466835921509635
2204.8463073172015	0.0005308844442309889
2223.669486715064	0.000630957344480193
2242.8228353819386	0.0007498942093324559
2262.1242357451747	0.0008912509381337458
2280.529681673054	0.0010592537251772895
2299.010363935556	0.0012589254117941673
2317.642758582998	0.0014962356560944345
2336.498636834723	0.0017782794100389225
2355.2355901984165	0.0021134890398366475
2373.669160138146	0.002511886431509582
2392.722088927522	0.0029853826189179603
2412.421692044018	0.0035481338923357567
2432.7758360207517	0.004216965034285822
2453.370097819038	0.0050118723362727255
2474.538259425573	0.005956621435290103
2496.5179537073927	0.00707945784384138
2519.240218931999	0.008413951416451957
2542.6      	0.01        
2565.2972069771104	0.01188502227437019
2588.251495314939	0.014125375446227554
2611.3534645409322	0.016788040181225587
2634.3769394421456	0.01995262314968883
2656.4824292122494	0.023713737056616554
2677.012114709336	0.02818382931264455
2696.8682063651	0.033496543915782793
2715.9406368235786	0.03981071705534969
2734.167545606181	0.04731512589614813
2750.782918225267	0.056234132519034905
2766.13264920669	0.06683439175686148
2780.6839646154094	0.07943282347242821
2794.318634020423	0.09440608762859228
2806.8943331665923	0.11220184543019629
2817.2379094561625	0.1333521432163324
2826.3626895185835	0.1584893192461114
2834.1802293883566	0.18836490894898023
2840.6409969767374	0.22387211385683378
2845.8263003566963	0.26607250597988086
2849.382723699783	0.3162277660168379
2852.181657967002	0.3758374042884443
2854.272118008703	0.4466835921509634
2855.7226876620252	0.5308844442309879
2856.668258373041	0.630957344480193
2857.198208126419	0.7498942093324559
2857.5343081840533	0.8912509381337458
2857.72418519395	1.0592537251772898
2857.8045507881684	1.2589254117941662
2857.8821031555867	1.4962356560944328
2857.9      	1.7782794100389228
2857.861418807646	2.1134890398366473
2857.8      	2.511886431509582
2857.8      	2.9853826189179573
2857.8      	3.548133892335753
2857.7465027314784	4.216965034285823
2857.667498037234	5.011872336272725
2857.5875355373823	5.956621435290109
2857.508295141578	7.079457843841373
2857.4310509112493	8.413951416451948
2857.4      	10.0        
