# T(K)	P(bar)
2991.3      	1e-08       
2958.677573700695	1.1885022274370215e-08
2934.8290362849516	1.4125375446227554e-08
2911.092250914705	1.6788040181225588e-08
2881.684038080895	1.9952623149688826e-08
2849.400481078513	2.3713737056616554e-08
2817.24202283584	2.818382931264461e-08
2786.2420119925778	3.3496543915782795e-08
2757.8612284325045	3.981071705534969e-08
2733.5144676764007	4.731512589614813e-08
2715.723479070115	5.6234132519034905e-08
2702.52636628381	6.683439175686162e-08
2691.59927882658	7.94328234724282e-08
2682.0612292338383	9.440608762859226e-08
2673.044270806217	1.1220184543019653e-07
2664.0573310875657	1.333521432163324e-07
2654.519164499226	1.584893192461114e-07
2644.416584949846	1.883649089489802e-07
2633.7898833416953	2.2387211385683422e-07
2622.7810853965525	2.6607250597988136e-07
2611.9141324073453	3.162277660168379e-07
2600.6509011876674	3.7583740428844433e-07
2588.9230559303764	4.466835921509635e-07
2576.705060393674	5.308844442309889e-07
2564.412641150464	6.309573444801942e-07
2551.7492765234792	7.498942093324558e-07
2538.1862783514775	8.912509381337459e-07
2522.9067017491693	1.0592537251772896e-06
2504.7894903473043	1.2589254117941687e-06
2484.1605606140133	1.4962356560944327e-06
2461.696130165389	1.7782794100389227e-06
2436.836719368898	2.1134890398366474e-06
2409.068524018858	2.511886431509582e-06
2377.769623495253	2.9853826189179636e-06
2343.151718604438	3.5481338923357534e-06
2303.264972266952	4.216965034285822e-06
2255.5461319523647	5.011872336272725e-06
2197.830419999412	5.95662143529011e-06
2130.0006411906684	7.079457843841388e-06
2054.019860337932	8.413951416451948e-06
1979.8365787079163	1e-05       
1916.8605361803861	1.188502227437019e-05
1874.0844683196935	1.4125375446227555e-05
1851.2839374510886	1.678804018122562e-05
1835.5137402536943	1.9952623149688786e-05
1823.6457531575836	2.371373705661655e-05
1814.9987763582978	2.818382931264455e-05
1809.5693885145079	3.349654391578279e-05
1807.5673336165964	3.981071705534977e-05
1807.0      	4.731512589614803e-05
1807.5248975416182	5.623413251903491e-05
1808.8408407737536	6.683439175686148e-05
1810.6724711748789	7.943282347242821e-05
1812.7329322802032	9.440608762859246e-05
1815.1933173250068	0.00011220184543019629
1817.8546428958791	0.0001333521432163324
1820.5032548799152	0.00015848931924611142
1823.176333958593	0.00018836490894898024
1825.8770063107593	0.00022387211385683424
1828.7099707139926	0.0002660725059798809
1831.6253400226242	0.0003162277660168379
1834.516311980411	0.00037583740428844437
1837.2292403996541	0.0004466835921509635
1840.0095254765515	0.0005308844442309889
1842.770677284634	0.000630957344480193
1845.464537624913	0.0007498942093324559
1848.107467965107	0.0008912509381337458
1850.5738485922082	0.0010592537251772895
1853.017039330518	0.0012589254117941673
1855.4373734361275	0.0014962356560944345
1857.8074396393988	0.0017782794100389225
1859.9420292631107	0.0021134890398366475
1861.6207211836863	0.002511886431509582
1863.0824207795442	0.0029853826189179603
1864.3299683658981	0.0035481338923357567
1865.3391320157018	0.004216965034285822
1865.885191987626	0.0050118723362727255
1866.3673802056487	0.005956621435290103
1867.1977792451087	0.00707945784384138
1868.5667767392	0.008413951416451957
1870.5      	0.01        
1872.8081905400452	0.01188502227437019
1876.5660465682595	0.014125375446227554
1881.9924067259315	0.016788040181225587
1889.194472441137	0.01995262314968883
1897.9412489688757	0.023713737056616554
1909.586331245083	0.02818382931264455
1925.0053037223374	0.033496543915782793
1944.4465623072797	0.03981071705534969
1968.0395469992045	0.04731512589614813
1996.332705091139	0.056234132519034905
2031.6484154994077	0.06683439175686148
2073.5928550022554	0.07943282347242821
2121.8019761630685	0.09440608762859228
2175.474902092886	0.11220184543019629
2230.82075432887	0.1333521432163324
2283.0309572579727	0.1584893192461114
2329.163948373316	0.18836490894898023
2366.873337660072	0.22387211385683378
2394.6346542173883	0.26607250597988086
2412.221820836714	0.3162277660168379
2424.883780441203	0.3758374042884443
2433.5884720348117	0.4466835921509634
2439.3498547607587	0.5308844442309879
2442.816947367818	0.630957344480193
2444.959200526746	0.7498942093324559
2446.426771525583	0.8912509381337458
2447.3451111636996	1.0592537251772898
2447.8136523645044	1.2589254117941662
2448.0463094667593	1.4962356560944328
2448.1598103710626	1.7782794100389228
2448.2385811923546	2.1134890398366473
2448.2817141641513	2.511886431509582
2448.2014605730647	2.9853826189179573
2448.2      	3.548133892335753
2448.2      	4.216965034285823
2448.167498037234	5.011872336272725
2448.1      	5.956621435290109
2448.1      	7.079457843841373
2448.031050911249	8.413951416451948
2447.9      	10.0        
