# T(K)	P(bar)
2767.8      	1e-08       
2757.182323515792	1.1885022274370215e-08
2754.4927574841845	1.4125375446227554e-08
2754.698204181912	1.6788040181225588e-08
2754.245655547595	1.9952623149688826e-08
2753.9275909465864	2.3713737056616554e-08
2753.7595312097405	2.818382931264461e-08
2753.457728616091	3.3496543915782795e-08
2753.172311629591	3.981071705534969e-08
2753.0921342188385	4.731512589614813e-08
2753.013759819692	5.6234132519034905e-08
2752.872485649162	6.683439175686162e-08
2752.8      	7.94328234724282e-08
2752.7782252610164	9.440608762859226e-08
2752.7      	1.1220184543019653e-07
2752.7      	1.333521432163324e-07
2752.6425533159936	1.584893192461114e-07
2752.636237992804	1.883649089489802e-07
2752.6839846618964	2.2387211385683422e-07
2752.604210763743	2.6607250597988136e-07
2752.6      	3.162277660168379e-07
2752.497957550516	3.7583740428844433e-07
2752.4602229482844	4.466835921509635e-07
2752.5795520563292	5.308844442309889e-07
2752.4219569378265	6.309573444801942e-07
2752.3336319789305	7.498942093324558e-07
2752.3      	8.912509381337459e-07
2758.1044465479795	1.0592537251772896e-06
2777.041778471389	1.2589254117941687e-06
2789.682814360586	1.4962356560944327e-06
2799.717434156482	1.7782794100389227e-06
2813.2193494721105	2.1134890398366474e-06
2831.2143130660434	2.511886431509582e-06
2849.2713710604307	2.9853826189179636e-06
2861.1507473470533	3.5481338923357534e-06
2871.426666759614	4.216965034285822e-06
2883.1453650744047	5.011872336272725e-06
2897.756636331889	5.95662143529011e-06
2910.831301639649	7.079457843841388e-06
2920.956534271354	8.413951416451948e-06
2932.503184713376	1e-05       
2945.1960996099083	1.188502227437019e-05
2957.5316656099744	1.4125375446227555e-05
2965.8085706513175	1.678804018122562e-05
2972.6551968059875	1.9952623149688786e-05
2980.8953382801596	2.371373705661655e-05
2989.8691046320273	2.818382931264455e-05
2996.364755065464	3.349654391578279e-05
3000.5998711956618	3.981071705534977e-05
3005.9503367646216	4.731512589614803e-05
3011.3345833359144	5.623413251903491e-05
3015.6408407737536	6.683439175686148e-05
3017.472471174879	7.943282347242821e-05
3017.6      	9.440608762859246e-05
3017.400786197058	0.00011220184543019629
3015.6957142246756	0.0001333521432163324
3011.1526701884723	0.00015848931924611142
3003.683772762755	0.00018836490894898024
2994.107605311772	0.00022387211385683424
2980.766917434041	0.0002660725059798809
2962.8348364894437	0.0003162277660168379
2939.9767585891746	0.00037583740428844437
2913.777621283342	0.0004466835921509635
2883.6264363187	0.0005308844442309889
2849.2226365990605	0.000630957344480193
2810.9779708195138	0.0007498942093324559
2770.613216532913	0.0008912509381337458
2730.847508682139	0.0010592537251772895
2691.366557916468	0.0012589254117941673
2652.9332033024343	0.0014962356560944345
2616.317605609352	0.0017782794100389225
2583.1128781293887	0.0021134890398366475
2552.8504847966506	0.002511886431509582
2523.5930151191446	0.0029853826189179603
2495.2431472127028	0.0035481338923357567
2467.655204974061	0.004216965034285822
2441.912377726202	0.0050118723362727255
2417.334999271984	0.005956621435290103
2393.2444150978245	0.00707945784384138
2369.5986791296004	0.008413951416451957
2346.4      	0.01        
2324.6260692389073	0.01188502227437019
2302.9340196534304	0.014125375446227554
2281.1846576406365	0.016788040181225587
2259.2230605578543	0.01995262314968883
2237.11757078775	0.023713737056616554
2215.3939005734615	0.02818382931264455
2193.1420768404105	0.033496543915782793
2170.4257493223117	0.03981071705534969
2147.2717287762753	0.04731512589614813
2124.0729066288723	0.056234132519034905
2101.446661953093	0.06683439175686148
2078.6381370707977	0.07943282347242821
2055.3458035659405	0.09440608762859228
2031.1080974068911	0.11220184543019629
2006.7929740396178	0.1333521432163324
1981.8424682433886	0.1584893192461114
1956.5400802954607	0.18836490894898023
1931.2832912021777	0.22387211385683378
1906.7927044691428	0.26607250597988086
1885.8036578012996	0.3162277660168379
1865.6426513650147	0.3758374042884443
1845.9829117834306	0.4466835921509634
1826.566694703169	0.5308844442309879
1807.8128756013498	0.630957344480193
1789.669883069662	0.7498942093324559
1771.861194380045	0.8912509381337458
1754.6904056281674	1.0592537251772898
1738.4626549770828	1.2589254117941662
1724.1930193720996	1.4962356560944328
1711.6892028563175	1.7782794100389228
1701.4489748027806	2.1134890398366473
1693.9028498490552	2.511886431509582
1689.0876343838852	2.9853826189179573
1686.7351475790092	3.548133892335753
1685.6790163888716	4.216965034285823
1685.92003140425	5.011872336272725
1687.5484363551705	5.956621435290109
1691.0350137705732	7.079457843841373
1699.8117888276	8.413951416451948
1718.2      	10.0        
