# T(K)	P(bar)
3053.1      	1e-08       
3050.945688829291	1.1885022274370215e-08
3048.383720894838	1.4125375446227554e-08
3045.3537966370345	1.6788040181225588e-08
3041.7935221187354	1.9952623149688826e-08
3037.6586823056227	2.3713737056616554e-08
3032.9454675019665	2.818382931264461e-08
3027.56283779493	3.3496543915782795e-08
3021.4464885152656	3.981071705534969e-08
3014.5606165708446	4.731512589614813e-08
3007.193423051061	5.6234132519034905e-08
2999.4605252826886	6.683439175686162e-08
2991.4026422598727	7.94328234724282e-08
2983.287850318592	9.440608762859226e-08
2975.517021352724	1.1220184543019653e-07
2969.0867110367926	1.333521432163324e-07
2963.493625487579	1.584893192461114e-07
2958.425720431748	1.883649089489802e-07
2953.5429876851586	2.2387211385683422e-07
2948.277910407047	2.6607250597988136e-07
2942.018147924839	3.162277660168379e-07
2934.3407289526053	3.7583740428844433e-07
2924.8843936200833	4.466835921509635e-07
2913.229013154117	5.308844442309889e-07
2898.8090598111216	6.309573444801942e-07
2880.4070987957543	7.498942093324558e-07
2857.5051773328587	8.912509381337459e-07
2829.608255674485	1.0592537251772896e-06
2796.624957935075	1.2589254117941687e-06
2762.9672304754954	1.4962356560944327e-06
2736.7784057126346	1.7782794100389227e-06
2717.4939665685497	2.1134890398366474e-06
2703.7571246226375	2.511886431509582e-06
2691.7190859597126	2.9853826189179636e-06
2679.345292007349	3.5481338923357534e-06
2666.358961619879	4.216965034285822e-06
2652.8771604415483	5.011872336272725e-06
2639.1308992054933	5.95662143529011e-06
2625.9769935019285	7.079457843841388e-06
2613.706043977371	8.413951416451948e-06
2601.1968152866243	1e-05       
2588.2117668729466	1.188502227437019e-05
2574.598963998722	1.4125375446227555e-05
2561.0123462893475	1.678804018122562e-05
2547.0137402536943	1.9952623149688786e-05
2532.433718266531	2.371373705661655e-05
2517.302391375144	2.818382931264455e-05
2501.6609949401964	3.349654391578279e-05
2486.029566314195	3.981071705534977e-05
2469.485503497861	4.731512589614803e-05
2451.8115983507546	5.623413251903491e-05
2432.761836504253	6.683439175686148e-05
2412.1360854654936	7.943282347242821e-05
2389.7956953400253	9.440608762859246e-05
2363.969185341106	0.00011220184543019629
2333.4557137645374	0.0001333521432163324
2296.5395240344396	0.00015848931924611142
2249.2889203201657	0.00018836490894898024
2186.436217986964	0.00022387211385683424
2108.400878580224	0.0002660725059798809
2024.3099377469894	0.0003162277660168379
1950.755016277046	0.00037583740428844437
1912.386457204894	0.0004466835921509635
1885.3206210287376	0.0005308844442309889
1866.2476306863273	0.000630957344480193
1853.303743920732	0.0007498942093324559
1844.8944201110235	0.0008912509381337458
1839.852302815584	0.0010592537251772895
1836.1134976380415	0.0012589254117941673
1833.5125928135067	0.0014962356560944345
1831.8633601602671	0.0017782794100389225
1830.9146536608396	0.0021134890398366475
1830.5293864412026	0.002511886431509582
1830.4      	0.0029853826189179603
1830.4253821819923	0.0035481338923357567
1830.5111805759148	0.004216965034285822
1830.6671977107503	0.0050118723362727255
1830.6387699657253	0.005956621435290103
1830.6      	0.00707945784384138
1830.6      	0.008413951416451957
1830.6      	0.01        
1830.6      	0.01188502227437019
1831.0380066526086	0.014125375446227554
1832.139917999657	0.016788040181225587
1833.993997279936	0.01995262314968883
1836.299965637249	0.023713737056616554
1839.73078217596	0.02818382931264455
1844.6371622050701	0.033496543915782793
1851.2242137816813	0.03981071705534969
1859.6068199886374	0.04731512589614813
1869.6387430794066	0.056234132519034905
1882.5575056983118	0.06683439175686148
1898.3712320556597	0.07943282347242821
1917.0049816136996	0.09440608762859228
1938.180920012266	0.11220184543019629
1962.1100890403761	0.1333521432163324
1989.1930713171946	0.1584893192461114
2019.0589591288751	0.18836490894898023
2051.3545647083647	0.22387211385683378
2085.497793117938	0.26607250597988086
2120.5649334911386	0.3162277660168379
2155.4003601112245	0.3758374042884443
2189.2854814500424	0.4466835921509634
2221.4806298607527	0.5308844442309879
2249.847751191236	0.630957344480193
2273.3785662155974	0.7498942093324559
2293.5521913827465	0.8912509381337458
2310.3356681654354	1.0592537251772898
2323.8142390629873	1.2589254117941662
2332.577656581265	1.4962356560944328
2338.6072948612127	1.7782794100389228
2342.8818288865336	2.1134890398366473
2345.8754317320763	2.511886431509582
2347.9620251003166	2.9853826189179573
2349.056931129796	3.548133892335753
2349.8279781481715	4.216965034285823
2350.2975058882967	5.011872336272725
2350.5124644626176	5.956621435290109
2350.591704858422	7.079457843841373
2350.6      	8.413951416451948
2350.6      	10.0        
