# T(K)	P(bar)
966.3       	1e-08       
980.0722035556029	1.1885022274370215e-08
992.1388705785293	1.4125375446227554e-08
1002.9377121798533	1.6788040181225588e-08
1012.8488168935418	1.9952623149688826e-08
1021.9136580222894	2.3713737056616554e-08
1030.2853146739935	2.818382931264461e-08
1038.6361533388688	3.3496543915782795e-08
1047.0626556337245	3.981071705534969e-08
1055.657370146574	4.731512589614813e-08
1064.2001796535571	5.6234132519034905e-08
1072.7132892960817	6.683439175686162e-08
1081.3510514559043	7.94328234724282e-08
1090.0952212881946	9.440608762859226e-08
1098.942501821691	1.1220184543019653e-07
1107.4645998307567	1.333521432163324e-07
1115.961688556675	1.584893192461114e-07
1124.5499412156576	1.883649089489802e-07
1133.2456718532985	2.2387211385683422e-07
1141.9410267519984	2.6607250597988136e-07
1150.351486295031	3.162277660168379e-07
1158.8613134968787	3.7583740428844433e-07
1167.5122621556486	4.466835921509635e-07
1176.3348608737322	5.308844442309889e-07
1185.081389950631	6.309573444801942e-07
1193.66685033875	7.498942093324558e-07
1202.4589415993466	8.912509381337459e-07
1211.4329269163404	1.0592537251772896e-06
1220.5324422156593	1.2589254117941687e-06
1229.6060692036108	1.4962356560944327e-06
1238.877244527545	1.7782794100389227e-06
1248.4454866596	2.1134890398366474e-06
1258.3405869886824	2.511886431509582e-06
1268.6130466477116	2.9853826189179636e-06
1278.68985557166	3.5481338923357534e-06
1289.1221312503924	4.216965034285822e-06
1299.820266936124	5.011872336272725e-06
1310.7200958412163	5.95662143529011e-06
1321.655270462252	7.079457843841388e-06
1332.5907706026162	8.413951416451948e-06
1343.894813466788	1e-05       
1355.6101964626337	1.188502227437019e-05
1367.7698883919434	1.4125375446227555e-05
1379.872909914662	1.678804018122562e-05
1392.147336811333	1.9952623149688786e-05
1404.7568129144022	2.371373705661655e-05
1417.74124041418	2.818382931264455e-05
1431.201329385352	3.349654391578279e-05
1444.3686904446927	3.981071705534977e-05
1457.8588999600565	4.731512589614803e-05
1471.7637773299784	5.623413251903491e-05
1486.0970878618762	6.683439175686148e-05
1500.5908588620855	7.943282347242821e-05
1514.772575539162	9.440608762859246e-05
1529.462655639744	0.00011220184543019629
1544.6989288026716	0.0001333521432163324
1560.5195292794915	0.00015848931924611142
1576.5580037515576	0.00018836490894898024
1592.696980541392	0.00022387211385683424
1609.4422606739563	0.0002660725059798809
1626.8125229179223	0.0003162277660168379
1644.7709822701522	0.00037583740428844437
1662.7538220777062	0.0004466835921509635
1681.3806990368184	0.0005308844442309889
1700.8179610508178	0.000630957344480193
1721.2189442038316	0.0007498942093324559
1742.8429197145106	0.0008912509381337458
1765.2613684038984	0.0010592537251772895
1789.3355312185222	0.0012589254117941673
1815.1860571718519	0.0014962356560944345
1842.8447418052283	0.0017782794100389225
1871.6221722878631	0.0021134890398366475
1901.078901644552	0.002511886431509582
1932.1400244538468	0.0029853826189179603
1964.8128095286625	0.0035481338923357567
1999.0485461253375	0.004216965034285822
2033.2162986543135	0.0050118723362727255
2067.463675149467	0.005956621435290103
2102.174709806198	0.00707945784384138
2137.238124521199	0.008413951416451957
2172.6      	0.01        
2205.991823145986	0.01188502227437019
2239.214352588251	0.014125375446227554
2272.2902788117412	0.016788040181225587
2305.1344452404974	0.01995262314968883
2336.940905341366	0.023713737056616554
2366.670007729754	0.02818382931264455
2395.882719578914	0.033496543915782793
2424.435552902207	0.03981071705534969
2452.195707783206	0.04731512589614813
2478.059259501595	0.056234132519034905
2502.74726743238	0.06683439175686148
2527.1383795046063	0.07943282347242821
2551.3106469560926	0.09440608762859228
2575.345775753568	0.11220184543019629
2598.0398908963566	0.1333521432163324
2620.723242886389	0.1584893192461114
2643.355351963588	0.18836490894898023
2665.8362486547126	0.22387211385683378
2687.9336184431513	0.26607250597988086
2708.650443367599	0.3162277660168379
2729.1144972081797	0.3758374042884443
2749.297757061423	0.4466835921509634
2769.163977212337	0.5308844442309879
2788.154188991911	0.630957344480193
2806.1973808881985	0.7498942093324559
2824.0283444093243	0.8912509381337458
2841.6240018931817	1.0592537251772898
2858.932911574446	1.2589254117941662
2874.831146895215	1.4962356560944328
2890.043401615135	1.7782794100389228
2904.6288710467416	2.1134890398366473
2918.444019571702	2.511886431509582
2931.3648477365746	2.9853826189179573
2942.3957965400564	3.548133892335753
2952.6406558336994	4.216965034285823
2962.0102119786866	5.011872336272725
2970.4342660981933	5.956621435290109
2977.6451421164124	7.079457843841373
2983.915927100066	8.413951416451948
2990.6      	10.0        
