chi_full(30),chi_nircam(21),chi_miri(9),chi_miri_wo_shadow(7),chi_full_wo_shadow(28),nircam_offset,run
57.58023,31.787175,25.793064,14.497931,46.285092,100,108
59.37231,35.630259,23.742045,12.885383,48.515656,100,109
59.62392,36.247239,23.376681,12.847912,49.095144,99,110
59.37126,35.631099,23.740155,12.883584,48.514676,100,111
59.62365,36.248436,23.375214,12.846267,49.094696,99,112
59.37408,35.631561,23.742504,12.886111,48.517672,100,113
59.62773,36.249066,23.378679,12.849844,49.098896,99,114
59.37651,35.631435,23.745087,12.888792,48.52022,100,115
59.63085,36.248814,23.382036,12.85333,49.102144,99,116
58.20948,35.633577,22.575879,12.07045,47.704048,99,117
58.65795,36.521373,22.136571,12.017411,48.538784,98,118
58.20702,35.63364,22.573377,12.068098,47.701724,99,119
58.65441,36.521163,22.133259,12.014205,48.535368,98,120
58.20633,35.633262,22.57308,12.068273,47.701556,99,121
58.65567,36.520953,22.134717,12.015941,48.53688,98,122
58.20801,35.633199,22.574817,12.069967,47.703152,99,123
58.65747,36.520659,22.136823,12.018027,48.538672,98,124
76.85484,69.794991,7.059852,2.762627,72.557632,91,125
40.97541,30.737658,10.237743,4.736109,35.47376,82,126
45.56445,34.544622,11.019825,4.260053,38.804668,89,127
50.52144,37.776543,12.7449,5.154968,42.931504,91,128
77.62347,71.120217,6.503229,2.341367,73.461584,91,129
41.232,30.724281,10.507743,5.017964,35.742224,82,130
45.67239,34.803699,10.868688,4.27476,39.07848,89,131
50.2152,37.582587,12.632634,5.123797,42.706384,90,132
112.19982,105.642726,6.557103,3.702468,109.345208,110,133
41.70675,29.485155,12.221586,7.446166,36.9313,79,134
42.87834,32.988291,9.890037,4.363247,37.351552,84,135
45.86454,35.131908,10.732626,4.936477,40.068392,85,136
97.07835,34.939632,62.138718,57.568798,92.508444,106,137
61.95603,33.308373,28.647657,24.717217,58.025604,77,138
50.13966,32.203311,17.936361,13.498891,45.702188,80,139
43.57815,32.988501,10.589661,5.47953,38.468024,83,140
133.28325,15.38145,117.9018,111.95352,127.334956,109,141
132.30417,67.208967,65.095209,59.680082,126.889056,88,142
120.91077,62.738613,58.172148,52.369352,115.107972,90,143
99.76014,48.415563,51.344568,44.932489,93.348052,97,144
40.28538,29.96616,10.31922,2.965886,32.932032,83,145
32.26521,23.501457,8.763777,2.782941,26.284384,68,146
41.58645,31.152723,10.433736,4.791577,35.9443,82,147
41.85939,30.701118,11.158263,5.66104,36.362144,82,148
46.55766,35.392728,11.164923,4.471082,39.863796,88,149
46.29927,35.006601,11.292669,4.55098,39.55756,89,150
50.98152,38.600877,12.380652,4.815909,43.4168,90,151
50.68296,38.405283,12.277665,4.741744,43.14702,90,152
41.34693,29.085924,12.261024,3.794721,32.880624,83,153
35.41368,25.235637,10.178046,2.702672,27.938316,74,154
41.70624,30.97185,10.734399,5.131616,36.103452,82,155
42.19716,30.691878,11.505303,6.017515,36.7094,82,156
46.43145,35.284326,11.147103,4.489863,39.774196,88,157
46.20432,34.92321,11.281113,4.577965,39.501196,89,158
50.65392,38.422251,12.231666,4.757291,43.179528,89,159
50.35677,38.219706,12.137067,4.683714,42.90342,90,160
38.3436,28.012236,10.331352,3.077074,31.089296,78,161
34.44792,24.979311,9.468603,3.692983,28.672308,68,162
42.29523,29.483055,12.812166,8.001819,37.484888,78,163
42.9276,29.568525,13.359078,8.559537,38.128048,79,164
43.76319,33.560394,10.202814,4.740967,38.30134,84,165
43.75386,33.315093,10.438758,4.937611,38.252704,84,166
45.6633,35.830536,9.832761,4.118709,39.949252,84,167
45.10155,35.339052,9.762507,3.963701,39.30276,85,168
52.01121,36.84324,15.167961,6.230616,43.073856,91,169
51.23025,36.855882,14.37435,6.040013,42.895916,89,170
63.47052,33.732111,29.738394,25.742703,59.474828,78,171
64.90773,33.85032,31.057425,27.072276,60.922596,78,172
53.51202,32.615541,20.89647,16.411766,49.0273,80,173
54.75654,32.642085,22.114467,17.637326,50.279404,80,174
46.60221,33.483387,13.118823,8.046276,41.529684,82,175
47.36076,33.40743,13.953321,8.856855,42.264292,83,176
55.3224,41.383545,13.938849,5.866371,47.249916,92,177
56.58651,42.503055,14.08347,6.175057,48.678112,92,178
134.19348,69.026139,65.167335,59.681188,128.707348,89,179
136.37922,69.642951,66.736278,61.260682,130.90364,89,180
128.53068,67.626405,60.904287,55.058276,122.68466,92,181
130.90863,68.339187,62.569458,56.727447,125.06662,92,182
120.98682,61.895568,59.091273,52.725988,114.621556,99,183
123.78066,62.791596,60.989085,54.585139,117.376728,100,184
52.38333,38.903172,13.480155,5.342449,44.245628,94,185
51.58242,34.796328,16.786098,7.389403,42.185724,96,186
58.14084,41.486235,16.654608,8.872339,50.35856,94,187
55.78179,35.923188,19.858617,10.5686,46.491788,96,188
59.72838,42.914739,16.813647,9.471595,52.38632,91,189
56.84304,36.105216,20.737836,11.587086,47.692288,95,190
61.44447,44.912784,16.531686,9.339589,54.25238,89,191
56.91669,36.235983,20.680713,11.605258,47.84122,95,192
49.69839,32.056059,17.642322,7.963788,40.01984,95,193
54.45882,28.07637,26.382456,14.231455,42.307804,99,194
50.99313,32.427003,18.566109,9.054836,41.481832,94,195
53.43468,27.438054,25.996635,13.449345,40.887392,99,196
51.15621,32.748408,18.407817,9.299255,42.047656,94,197
54.53682,27.151782,27.385047,14.47761,41.629392,101,198
50.82879,32.787615,18.041175,9.159794,41.947416,93,199
54.89112,27.169107,27.722007,14.778918,41.948032,103,200
55.63698,31.532781,24.104223,12.6469,44.17966,99,201
57.17187,31.074351,26.097516,14.156226,45.230556,100,202
53.8863,31.125675,22.76064,11.254264,42.379932,99,203
54.4473,30.543303,23.904,11.794923,42.33824,100,204
54.21039,31.400103,22.810293,11.364444,42.76454,99,205
55.13301,31.071474,24.061554,11.844532,42.915992,100,206
54.64911,31.831653,22.817457,11.430363,43.262016,100,207
55.87773,31.727472,24.150249,11.92751,43.654968,101,208
59.13411,35.971488,23.162634,12.090113,48.061608,100,209
59.48259,36.793134,22.68945,11.852596,48.645716,100,210
56.04618,34.436472,21.609693,10.483284,44.919756,100,211
55.35444,34.744899,20.60955,9.70991,44.454816,99,212
56.0403,34.361376,21.678912,10.53885,44.90024,99,213
55.17765,34.673247,20.504394,9.573732,44.246972,99,214
56.08269,34.307826,21.774852,10.645124,44.952964,100,215
55.18329,34.619256,20.564046,9.637075,44.256324,99,216
57.98622,36.025668,21.96054,11.237681,47.263356,99,217
58.47273,37.128903,21.343833,10.924333,48.053236,99,218
54.6735,34.286469,20.387025,9.617461,43.903916,99,219
54.23664,34.891227,19.34541,8.894158,43.785392,98,220
54.53643,34.142808,20.393631,9.607633,43.750448,98,221
53.88993,34.753047,19.136871,8.694147,43.447208,98,222
54.58644,34.101186,20.485242,9.702994,43.80418,98,223
53.87331,34.706847,19.166463,8.739423,43.446256,97,224
40.01856,31.286976,8.731593,2.598869,33.885824,77,225
42.28041,30.161586,12.118815,7.282254,37.44384,78,226
45.0699,34.216518,10.853379,4.732525,38.949036,86,227
51.75567,38.167668,13.588002,5.613818,43.781472,92,228
40.00893,31.268685,8.740251,2.785671,34.054356,77,229
42.39483,30.162636,12.232206,7.396305,37.558948,78,230
45.04689,34.197744,10.849131,4.743305,38.941056,86,231
51.64092,38.152212,13.488714,5.57746,43.729672,92,232
43.98255,36.505287,7.477245,3.82354,40.32882,76,233
45.19374,30.296406,14.89734,10.370122,40.666528,77,234
44.23356,33.311607,10.921959,5.51859,38.830204,83,235
47.58687,36.350391,11.236491,4.881023,41.2314,87,236
85.66455,33.735597,51.928947,47.342015,81.077612,99,237
71.61807,38.615304,33.002757,29.225602,67.840892,77,238
55.55544,33.527151,22.028292,17.612553,51.139704,79,239
45.42432,32.904963,12.519351,7.110831,40.01578,83,240
109.46295,16.538277,92.92464,87.30729,103.845588,95,241
128.3352,70.681233,57.653973,52.530597,123.211844,84,242
116.22399,65.780841,50.443128,44.931012,110.71186,85,243
96.80511,54.722409,42.082722,35.884443,90.606852,88,244
43.58217,30.781191,12.800979,3.991967,34.773144,85,245
35.26296,24.550512,10.712466,2.819649,27.37014,72,246
42.38667,30.138087,12.248595,7.393855,37.531956,78,247
42.5832,30.167697,12.4155,7.576163,37.74386,78,248
45.53592,34.519044,11.0169,4.883879,39.402916,85,249
45.43047,34.356546,11.073906,4.95551,39.312056,86,250
52.17279,38.763942,13.408866,5.439644,44.203572,92,251
51.8289,38.443062,13.385835,5.418588,43.861636,92,252
46.33005,29.754522,16.575507,5.92711,35.681632,86,253
41.08338,26.452902,14.630463,4.403329,30.856224,79,254
42.49212,30.141447,12.350664,7.496601,37.638048,78,255
42.70098,30.169608,12.531384,7.692293,37.861908,78,256
45.49038,34.481244,11.009124,4.889241,39.370492,85,257
45.39843,34.327965,11.070477,4.967872,39.295844,85,258
52.03266,38.715201,13.317462,5.397273,44.11246,92,259
51.68982,38.398206,13.291605,5.374789,43.772988,92,260
40.34532,28.33908,12.006243,3.429839,31.76894,80,261
34.93086,24.562734,10.368135,3.154872,27.71762,69,262
45.2214,30.328662,14.892741,10.341856,40.670504,77,263
45.56094,30.331476,15.229467,10.694159,41.025628,77,264
44.69682,33.590088,11.106738,5.691301,39.281396,83,265
44.73303,33.445398,11.287611,5.88434,39.329752,83,266
47.51898,36.692712,10.826262,4.450873,41.143592,86,267
47.39673,36.64248,10.754235,4.428039,41.070512,87,268
56.16819,38.091459,18.076725,7.783979,45.875424,93,269
55.34082,38.183145,17.157672,7.482195,45.66534,91,270
71.74824,38.773497,32.97474,29.172437,67.94592,77,271
72.54324,38.860899,33.682329,29.891218,68.752124,77,272
56.83662,33.684273,23.15232,18.711952,52.396232,79,273
57.50718,33.700128,23.807052,19.378373,53.078508,79,274
48.33516,33.047322,15.28785,9.892974,42.940296,82,275
48.95019,33.040119,15.910056,10.505635,43.545768,82,276
60.89958,44.495157,16.404417,7.164276,51.659412,95,277
62.44788,45.703434,16.744455,7.587748,53.291168,95,278
128.4297,71.123976,57.305736,52.146801,123.270784,85,279
129.67485,71.505987,58.168872,53.028346,124.53434,85,280
118.99254,67.648098,51.344451,45.80401,113.452108,86,281
120.27546,68.079711,52.195743,46.670722,114.75044,86,282
109.52718,62.854092,46.673091,40.501937,103.356036,90,283
