chi_full(39),chi_nircam(30),chi_miri(9),chi_miri_wo_shadow(7),chi_full_wo_shadow(37),nircam_offset,run
125.863218,101.83701,25.281,15.689009,121.609972,79,108
118.32561,98.46222,21.724047,12.676111,115.455947,79,109
114.999261,95.11263,21.549546,12.742772,111.919524,79,110
118.323972,98.46303,21.722085,12.674347,115.45443,79,111
115.003902,95.11938,21.548241,12.741428,111.924001,79,112
118.324674,98.46246,21.723102,12.675425,115.455429,79,113
115.00788,95.12118,21.550104,12.743248,111.928182,79,114
118.325649,98.46129,21.724749,12.677021,115.456539,79,115
115.008699,95.11929,21.552183,12.745271,111.929292,79,116
111.429201,92.69451,20.479608,11.760504,108.779445,79,117
107.921931,89.35077,20.154645,11.72759,105.117592,79,118
111.423819,92.69205,20.477124,11.758292,108.774302,79,119
107.915301,89.34789,20.15145,11.724685,105.111228,79,120
111.411183,92.68047,20.475612,11.757214,108.762388,79,121
107.909841,89.34186,20.151549,11.724965,105.106233,79,122
111.413211,92.68101,20.476818,11.758306,108.764423,79,123
107.910582,89.34081,20.152926,11.726232,105.107047,79,124
95.817579,94.13667,6.788628,3.327996,94.906776,79,125
40.203501,29.13948,10.617462,6.058486,39.912492,79,126
54.401451,45.24951,10.00251,4.60383,53.767697,79,127
61.57164,52.18251,10.594044,4.574822,60.78508,79,128
97.582836,97.00341,6.064326,2.746737,96.798142,79,129
40.400802,29.14833,10.770156,6.209308,40.115326,79,130
54.310815,44.68671,10.351395,5.045551,53.626986,79,131
60.206523,50.92572,10.434042,4.482254,59.467436,79,132
245.313822,257.44416,5.054976,2.719731,244.255833,79,133
39.916149,26.30286,12.512826,8.335838,39.712581,79,134
42.005574,33.41988,8.862678,4.403077,41.769855,79,135
43.834557,35.94669,8.444817,3.824527,43.540009,79,136
204.544665,154.29195,49.490172,42.991879,203.735653,79,137
67.108704,28.21062,33.045219,28.090902,66.728871,79,138
51.570753,28.49619,20.281158,15.822856,51.322108,79,139
40.720875,31.13325,9.540018,5.326923,40.552259,79,140
297.950484,178.90482,106.47369,95.21169,296.473674,79,141
163.06017,70.90848,78.521076,69.495741,158.086533,79,142
155.068992,73.18296,70.360821,61.608141,151.241903,79,143
155.10105,89.09616,58.451814,50.066576,153.174413,79,144
49.233054,29.28081,17.804547,11.470249,42.373251,79,145
58.044246,40.2027,16.729866,11.427955,51.020595,79,146
40.188174,29.29008,10.492119,5.843138,39.955486,79,147
41.283333,28.44657,12.009285,7.360612,40.999996,79,148
53.473719,43.30233,10.713555,5.31363,52.951699,79,149
55.125525,44.64045,11.044134,5.588674,54.548582,79,150
58.535802,49.0716,10.475217,4.481554,57.960833,79,151
61.305933,51.56184,10.844946,4.8468,60.570221,79,152
49.430511,28.84347,18.292041,11.146163,43.149326,79,153
46.150806,27.85116,16.387281,10.062038,40.043768,79,154
40.025466,28.80147,10.727145,6.090056,39.801714,79,155
41.558478,28.46718,12.216069,7.560217,41.279087,79,156
52.908531,42.79719,10.635939,5.266807,52.405357,79,157
54.454647,44.03358,10.95741,5.534718,53.910369,79,158
57.163275,47.83125,10.296891,4.378374,56.620397,79,159
59.952594,50.35314,10.658385,4.730481,59.255352,79,160
36.803013,26.30475,9.996957,4.2525,35.022572,79,161
51.370215,43.51914,8.851959,4.218893,49.812286,79,162
40.484964,26.11185,13.115511,8.8739,40.284416,79,163
41.534883,26.19243,13.903083,9.61653,41.325818,79,164
41.700828,32.12742,9.585873,5.123524,41.494982,79,165
43.072536,32.93124,10.090908,5.567373,42.840006,79,166
41.301546,33.92226,7.917255,3.389603,41.108517,79,167
42.180645,34.72482,8.025372,3.43119,41.957482,79,168
66.965535,55.57335,12.407526,5.324221,65.822445,79,169
56.863053,45.97941,11.443284,4.846359,55.98914,79,170
68.066427,28.21536,33.815223,28.763896,67.689872,79,171
70.112328,28.21638,35.466885,30.312821,69.722023,79,172
55.274544,28.71423,23.109156,18.42925,55.005199,79,173
57.254496,28.70418,24.715881,19.934166,56.981924,79,174
45.141408,30.98448,13.222017,8.789774,44.943345,79,175
46.74852,31.1943,14.362704,9.837667,46.552253,79,176
71.309862,62.16663,10.971441,4.58927,70.496729,79,177
70.840809,61.60098,11.016837,4.746497,70.063311,79,178
165.269286,73.65909,78.2424,69.185935,160.399588,79,179
168.379497,74.3664,80.224029,71.04286,163.416124,79,180
165.329736,80.56428,73.112346,64.145977,161.487129,79,181
168.945114,81.5877,75.264912,66.15784,165.016744,79,182
189.788196,113.68569,68.026185,59.035403,187.462239,79,183
195.171951,116.47101,70.285617,61.117147,192.742805,79,184
77.085801,69.4626,10.164663,3.790626,76.759053,79,185
86.84091,73.79796,14.792265,7.228431,85.375354,79,186
79.103037,66.59826,13.942224,7.565159,78.751281,79,187
90.399621,73.50612,17.885466,10.190096,88.990476,79,188
70.794048,57.06231,14.383062,8.284759,70.444855,79,189
88.16418,69.99372,18.714213,11.061078,86.873373,79,190
64.976535,51.0066,14.226093,8.243221,64.607069,79,191
85.921329,67.81134,18.539496,10.950709,84.794602,79,192
82.535349,68.05794,15.619707,7.803418,80.959811,79,193
116.444445,88.25934,27.856791,17.493973,111.217967,79,194
81.897894,66.25413,16.457697,8.702631,80.484028,79,195
119.668965,94.65789,25.662303,15.168377,114.607907,79,196
77.631879,62.03661,16.175196,8.720866,76.520292,79,197
134.238273,108.94425,26.715033,15.898827,129.039905,79,198
75.461217,60.29328,15.729471,8.463875,74.519443,79,199
147.265911,122.70411,26.917452,16.062795,142.028977,79,200
114.424752,92.43843,23.091183,13.531644,110.940911,79,201
122.589246,97.20369,26.111619,16.01194,117.97117,79,202
112.051407,92.68374,20.990241,11.536434,108.76113,79,203
119.877303,98.91777,22.63563,12.650239,115.432378,79,204
113.949927,94.97418,20.80584,11.406696,110.873016,79,205
125.765016,105.50343,22.451877,12.403167,121.409654,79,206
116.64744,97.97724,20.732319,11.3792,113.65401,79,207
130.96122,111.09948,22.451751,12.399051,126.62029,79,208
121.43157,102.18387,21.441438,12.261242,118.439516,79,209
119.595255,100.4115,21.287529,12.282557,116.309463,79,210
115.223472,98.28381,19.352259,10.27362,112.389979,79,211
110.966622,94.97406,18.396342,9.540174,107.879161,79,212
115.190127,98.35956,19.268487,10.185882,112.494726,79,213
110.780436,95.2146,18.065565,9.209725,107.830173,79,214
115.424127,98.54838,19.315899,10.237367,112.770598,79,215
111.148908,95.6184,18.060318,9.207415,108.231845,79,216
115.434423,97.42923,20.163591,11.313351,112.655232,79,217
113.627397,95.95788,19.80756,11.193406,110.6004,79,218
108.534894,92.83455,18.036882,9.295727,105.922009,79,219
104.167479,89.50869,17.003754,8.554287,101.361574,79,220
107.885271,92.34969,17.875845,9.133922,105.419142,79,221
102.631581,88.44291,16.562556,8.148483,100.004192,79,222
107.727477,92.13348,17.910558,9.168943,105.306995,79,223
102.152739,87.98802,16.516989,8.116927,99.580468,79,224
37.797045,29.40228,8.476668,3.618657,36.885152,79,225
41.00343,26.59785,13.169772,8.906198,40.773852,79,226
46.703475,36.41256,10.412631,5.433855,46.448209,79,227
67.382289,57.61362,11.213946,4.884425,66.836467,79,228
37.927383,29.76657,8.308728,3.586611,37.101269,79,229
41.099955,26.60256,13.24422,8.976142,40.869793,79,230
46.538934,36.24909,10.402326,5.434758,46.287111,79,231
66.426009,56.73825,11.098098,4.820354,65.904622,79,232
42.114423,37.37835,5.981724,3.025351,41.874787,79,233
45.087354,27.00957,16.159527,11.913174,44.814992,79,234
42.305874,31.19697,10.772406,6.271888,42.100783,79,235
48.736584,40.35288,9.099513,4.044054,48.494198,79,236
146.379129,99.31923,43.739883,37.613044,145.776374,79,237
78.540891,31.8207,39.571362,34.289262,77.97158,79,238
59.038512,28.90743,26.004375,21.179732,58.715892,79,239
44.393583,31.32882,12.359745,7.749798,44.180146,79,240
168.447435,64.69281,87.534108,77.76636,167.401283,79,241
149.312319,66.06168,71.052156,62.728981,144.791878,79,242
134.708184,61.90032,62.377542,54.360551,131.37442,79,243
114.739638,57.67644,49.416993,41.783735,113.112256,79,244
56.711733,33.25401,20.865132,13.307812,48.60616,79,245
52.095342,29.73516,19.775637,12.93229,43.563319,79,246
40.995864,26.59365,13.166811,8.890707,40.762456,79,247
41.426424,26.58636,13.520043,9.231173,41.193284,79,248
46.713381,36.09288,10.660374,5.656567,46.468041,79,249
47.155602,36.2589,10.893033,5.883955,46.900978,79,250
67.718976,57.55368,11.530845,5.183661,67.198549,79,251
67.920762,57.6018,11.657709,5.303452,67.381995,79,252
63.452298,34.2312,25.576524,16.417541,53.917436,79,253
52.103064,24.05448,24.042357,15.280545,42.54371,79,254
41.082366,26.59755,13.233771,8.953672,40.848222,79,255
41.524587,26.5908,13.595994,9.30223,41.290668,79,256
46.557849,35.95329,10.639476,5.646256,46.314787,79,257
46.988409,36.09069,10.884177,5.886734,46.736439,79,258
66.849315,56.76303,11.421405,5.115852,66.346994,79,259
67.033902,56.79504,11.546496,5.234957,66.511533,79,260
40.579929,26.18736,13.135599,6.256411,37.163318,79,261
49.716654,38.40729,11.350296,5.544329,46.567201,79,262
44.970588,27.08622,16.007715,11.754918,44.690524,79,263
45.531876,27.02133,16.509735,12.234369,45.254663,79,264
42.437148,31.0812,10.96524,6.443416,42.225251,79,265
42.945708,31.13949,11.332296,6.794522,42.734889,79,266
47.450364,39.09219,9.006138,3.94296,47.235125,79,267
48.652266,39.96582,9.321705,4.271925,48.416017,79,268
79.23123,65.17434,15.1137,6.901202,77.47874,79,269
67.037022,53.54361,13.987566,6.28222,65.598077,79,270
78.162201,31.8525,39.241638,33.963923,77.608647,79,271
79.380327,31.91061,40.181922,34.849346,78.811776,79,272
60.233043,29.06406,26.851707,21.95333,59.906663,79,273
61.323912,29.04966,27.743625,22.793967,60.99228,79,274
48.477039,31.3674,15.628995,10.810646,48.23653,79,275
49.664862,31.4484,16.527627,11.642694,49.427967,79,276
90.008685,79.33197,13.200336,5.85221,88.668946,79,277
91.024011,80.12412,13.426317,6.121535,89.670166,79,278
148.547061,66.18273,70.343289,62.042484,144.085844,79,279
150.249567,66.46557,71.50626,63.140819,145.739041,79,280
136.99725,63.52245,63.009783,54.930827,133.674118,79,281
138.774792,63.86892,64.185642,56.039081,135.416892,79,282
130.475046,67.35261,54.869238,46.891474,128.7267,79,283
133.368534,68.49903,56.346462,48.257867,131.568078,79,284
73.506342,67.21287,8.96085,3.352783,73.048878,79,285
85.380321,75.86604,12.061512,5.159301,84.804185,79,286
76.639563,46.06527,27.352233,21.667989,76.162132,79,287
87.606051,54.47928,29.899269,23.369479,86.823016,79,288
60.035976,36.64608,21.006045,15.560993,59.619839,79,289
69.347499,39.50364,26.383716,20.780011,68.906506,79,290
80.152644,60.16242,19.61685,12.793795,79.6832,79,291
91.994331,66.44043,24.472791,17.507126,91.390814,79,292
70.790889,60.83268,11.552742,4.776695,70.255082,79,293
107.810976,82.57548,25.146504,14.974722,103.349214,79,294
76.045905,46.52655,26.526798,20.791995,75.574498,79,295
84.375993,54.70413,27.121761,20.465312,83.585923,79,296
60.001734,36.69816,20.939319,15.489719,59.59183,79,297
68.898882,39.5265,26.004231,20.398469,68.466798,79,298
79.59549,59.78175,19.452348,12.652976,79.131493,79,299
90.789738,65.76699,24.004926,17.074491,90.202633,79,300
116.91888,96.5571,22.016664,12.457935,113.95519,79,301
142.645581,116.74983,27.651375,16.842896,137.989428,79,302
93.069132,60.04125,30.140289,24.209241,92.539553,79,303
87.584055,59.2362,26.313813,19.338732,86.815283,79,304
65.395083,37.32561,24.824898,19.317277,64.979067,79,305
73.113261,39.95571,29.086236,23.3926,72.68058,79,306
70.079568,50.15913,18.983367,12.954305,69.672776,79,307
77.965446,53.83146,22.598487,16.448355,77.517183,79,308
123.977802,105.54822,20.974752,11.718483,121.194129,79,309
131.678391,112.38294,22.068414,12.643197,128.253766,79,310
117.044967,72.20955,40.379157,34.046656,116.323301,79,311
109.90707,73.34853,33.759684,24.836665,108.713955,79,312
135.75276,68.84748,58.010859,50.84765,134.705604,79,313
146.932617,75.02253,62.409429,54.951855,145.689868,79,314
130.039104,69.51684,52.893972,45.239894,129.147649,79,315
144.23175,77.68809,58.228803,50.248184,143.121994,79,316
118.730469,101.5602,19.727523,10.7898,116.159502,79,317
126.252828,108.65115,20.48508,11.46824,123.100887,79,318
121.31301,73.85169,42.594804,34.530916,120.440624,79,319
118.99485,85.17933,32.226705,23.123121,117.669435,79,320
220.318995,132.62034,78.484689,69.390174,216.156331,79,321
231.53091,139.72053,82.215324,72.8161,227.031593,79,322
247.324272,161.89674,78.339348,69.100332,243.375233,79,323
261.664962,171.91443,82.408959,72.81449,257.330782,79,324
109.892328,46.96914,53.532315,46.08947,108.480263,79,325
150.447375,69.1866,69.625224,61.33596,145.461763,79,326
141.396138,67.28547,63.740448,55.446552,137.190191,79,327
118.369914,62.27361,48.901284,41.118063,116.113659,79,328
109.898412,46.97142,53.535564,46.092473,108.486146,79,329
150.323979,69.13947,69.560919,61.287821,145.360383,79,330
141.249459,67.21749,63.672966,55.396208,137.067129,79,331
118.319916,62.2383,48.887379,41.107969,116.068371,79,332
109.890768,46.9674,53.532369,46.089519,108.478857,79,333
150.312357,69.14325,69.548688,61.279106,145.352798,79,334
141.249459,67.21749,63.672966,55.396208,137.067129,79,335
118.319331,62.23785,48.887244,41.108613,116.067668,79,336
109.881915,46.96263,53.528814,46.086313,108.470384,79,337
150.312357,69.14325,69.548688,61.279106,145.352798,79,338
141.247392,67.21716,63.67158,55.394927,137.065205,79,339
118.321671,62.23974,48.887685,41.108179,116.069962,79,340
109.639296,46.92639,53.360028,45.92672,108.234065,79,341
151.138377,69.47892,69.964101,61.591971,146.034671,79,342
142.169001,67.7076,64.048104,55.677979,137.848236,79,343
119.241174,62.93028,49.112496,41.290627,116.906828,79,344
127.09086,71.95656,48.682899,44.392677,114.45617,79,345
143.301639,87.96993,49.766184,45.414684,130.330909,79,346
158.474901,101.74632,51.689214,47.222385,145.050619,79,347
169.930215,111.23304,53.826552,49.217112,156.173448,79,348
179.814765,118.67424,56.229327,51.450175,165.944926,79,349
189.409896,125.4345,58.90905,53.928511,176.237808,79,350
165.029397,105.77886,53.958834,49.05761,158.706616,79,351
155.312001,97.45056,52.356393,47.493929,150.055017,79,352
125.956311,66.55485,51.817797,47.368062,112.545564,79,353
141.304254,81.22095,53.214651,48.675613,127.464038,79,354
155.319138,93.00312,55.697715,50.990562,140.81719,79,355
165.57489,100.52382,58.340691,53.439827,150.438633,79,356
174.205902,105.94161,61.248564,56.124712,158.490092,79,357
183.076764,110.6643,64.87146,59.463544,167.151163,79,358
168.192882,98.03118,62.324703,57.129107,156.957515,79,359
161.521659,92.73117,60.911415,55.81905,151.182888,79,360
104.311779,38.75778,55.183491,50.484581,89.621955,79,361
118.521858,52.53963,56.324475,51.540895,103.466541,79,362
130.321113,63.03615,57.982248,53.071144,114.790835,79,363
138.462831,69.7257,59.541111,54.505094,122.510108,79,364
145.266615,74.90565,61.15149,55.979546,128.917361,79,365
152.832693,80.09586,63.3699,58.002756,136.170397,79,366
155.748918,79.94376,65.839392,60.357962,140.65994,79,367
152.694984,76.90716,65.650194,60.200581,138.004413,79,368
80.108769,31.34319,41.195853,36.949409,67.942989,79,369
100.838673,53.62683,41.226507,36.946728,88.435365,79,370
118.253928,74.15211,39.89871,35.601853,105.880643,79,371
131.3013,91.12137,37.710027,33.418637,119.182291,79,372
144.478815,110.05065,34.156431,29.920121,132.91251,79,373
201.202248,189.09114,20.691135,17.265304,193.276752,79,374
198.383796,156.67671,42.725529,39.31781,192.52247,79,375
191.062053,146.21235,44.660097,41.17442,184.761424,79,376
39.787761,28.46955,10.784115,4.232697,39.555627,79,377
150.58173,147.66585,10.874313,5.198501,149.970768,79,378
195.314535,194.06301,12.20679,7.655669,194.561984,79,379
283.890477,287.28108,13.835322,9.163189,282.796735,79,381
237.275064,241.63188,10.421334,4.053553,236.189426,79,382
85.801404,82.08777,7.735302,3.832276,84.981526,79,383
78.516321,74.04111,7.886196,4.059895,77.656377,79,384
67.277067,55.49877,12.715092,5.886727,66.668376,79,385
52.556751,40.53762,12.046464,6.443815,50.601644,79,386
71.349447,59.60292,12.926214,6.008513,70.659566,79,387
52.486707,40.79613,11.796003,6.266442,50.524647,79,388
75.180495,63.24447,13.289355,6.215811,74.361342,79,389
51.519585,40.30434,11.383713,5.977587,49.55965,79,390
77.595687,65.46561,13.574214,6.375187,76.669032,79,391
50.508354,39.64038,11.064915,5.754721,48.554545,79,392
79.089075,66.81444,13.768794,6.481433,78.071554,79,393
49.615098,39.012,10.814715,5.579791,47.667063,79,394
79.909986,67.43685,13.965048,6.593881,78.778883,79,395
48.388197,38.02944,10.560699,5.403384,46.442252,79,396
71.590896,58.42755,14.00274,6.842745,70.038632,79,397
43.022694,33.14388,9.891207,5.002998,41.149402,79,398
67.188459,54.19575,13.620807,6.695878,65.51331,79,399
41.383173,31.74924,9.612927,4.833402,39.572314,79,400
74.905623,61.69884,14.226552,7.107107,73.567211,79,401
57.427968,46.41279,11.574531,5.893517,55.683261,79,402
76.311963,63.27369,14.181291,7.047537,74.923335,79,403
56.508738,46.10583,11.062314,5.486922,54.855275,79,404
77.395422,64.65168,14.022945,6.893439,75.972285,79,405
55.065543,45.40005,10.425978,4.990433,53.556686,79,406
77.619048,65.13021,13.844655,6.74254,76.184406,79,407
53.957787,44.74461,10.022841,4.686122,52.546549,79,408
77.479779,65.20887,13.673178,6.606831,76.042141,79,409
53.068158,44.16759,9.737037,4.476115,51.727628,79,410
76.880934,64.83885,13.467006,6.451599,75.44337,79,411
51.94215,43.34649,9.443412,4.265646,50.677161,79,412
69.10293,58.15842,12.195099,5.658058,67.773011,79,413
46.747974,39.06417,8.459865,3.631026,45.785761,79,414
65.301015,54.85482,11.602008,5.30691,64.045372,79,415
45.170112,37.70199,8.207064,3.487358,44.294846,79,416
96.988905,81.77658,17.004744,8.949948,95.055775,79,417
68.207412,57.93312,11.640762,5.458033,67.042964,79,418
96.340608,81.60657,16.608636,8.648815,94.44509,79,419
67.384161,57.5424,11.268855,5.188351,66.2744,79,420
95.000451,80.93655,16.028721,8.218581,93.181614,79,421
65.910507,56.63049,10.76256,4.836181,64.897667,79,422
93.813174,80.21628,15.609969,7.915439,92.056925,79,423
64.772877,55.84671,10.431531,4.616612,63.830809,79,424
92.755377,79.51269,15.283296,7.683487,91.050932,79,425
63.85041,55.17102,10.193229,4.464103,62.962345,79,426
91.355433,78.50877,14.905494,7.420245,89.71427,79,427
62.749206,54.32868,9.935523,4.305056,61.921535,79,428
81.865173,70.81917,13.007475,6.165677,80.587924,79,429
57.368727,49.83243,8.961939,3.768618,56.786934,79,430
77.264265,66.86352,12.258117,5.690748,76.14489,79,431
55.635411,48.2808,8.725698,3.661511,55.11927,79,432
109.250037,93.76293,17.918217,9.442412,107.137533,79,433
84.058845,72.69186,13.374783,6.258308,82.714795,79,434
108.994626,93.71235,17.749872,9.318218,106.90225,79,435
83.902299,72.68196,13.255776,6.178088,82.580633,79,436
108.130776,93.20235,17.434629,9.088597,106.085882,79,437
83.04348,72.08142,13.012506,6.0158,81.776364,79,438
107.264859,92.61096,17.178786,8.908277,105.263927,79,439
82.20303,71.43165,12.821022,5.893937,80.983417,79,440
106.416102,91.98528,16.962507,8.759079,104.455477,79,441
81.463629,70.83588,12.670632,5.802223,80.283784,79,442
105.244854,91.07205,16.701417,8.582924,103.336153,79,443
80.508441,70.03602,12.49902,5.702382,79.376951,79,444
96.082389,83.31531,15.118533,7.542416,94.526638,79,445
75.319062,65.37516,11.803275,5.359501,74.420024,79,446
91.435656,79.28319,14.389479,7.062496,90.044939,79,447
73.619169,63.80682,11.606526,5.274668,72.78973,79,448
103.489659,89.03703,16.81002,8.639253,101.574953,79,449
