chi,chi_nircam,chi_miri,chi_reduced,chi_reduced_full,offset,offset_reduced_full,run
1.045502,0.991446,1.225689,0.590417,0.915576,84,84,45
0.893809,0.886599,0.917843,0.44971,0.803944,77,77,46
1.042427,0.984102,1.236845,0.597259,0.910916,85,85,47
0.892349,0.879988,0.933555,0.458004,0.800153,78,78,48
1.035095,0.967768,1.259519,0.61228,0.900514,86,86,49
0.88905,0.868457,0.957695,0.467346,0.792571,80,80,50
1.030635,0.958484,1.27114,0.619867,0.894421,86,86,51
1.886082,0.998016,4.846304,4.380742,1.637991,118,118,52
0.988311,0.901234,1.278567,0.660916,0.855768,84,84,53
0.889252,0.847479,1.028493,0.517725,0.785093,80,80,54
0.980749,0.88946,1.285049,0.665713,0.847129,85,85,55
0.883722,0.83725,1.038629,0.525796,0.778326,80,80,56
0.969614,0.870478,1.300065,0.679373,0.834323,86,86,57
0.875284,0.821294,1.055253,0.538902,0.767868,82,82,58
0.964866,0.86232,1.306685,0.685245,0.82882,87,87,59
3.644857,1.813627,9.748959,10.7818,3.510308,152,152,60
1.034494,0.883802,1.536801,0.899584,0.886788,87,87,61
0.937327,0.840919,1.258686,0.717596,0.817588,83,83,62
1.035069,0.8819,1.545632,0.909877,0.887193,87,87,63
0.939016,0.839734,1.269953,0.730264,0.819024,83,83,64
1.036087,0.878635,1.56093,0.928191,0.88801,88,88,65
0.941123,0.837357,1.28701,0.749724,0.820778,84,84,66
1.0353,0.875992,1.566326,0.93473,0.887105,88,88,67
1.28747,0.92544,2.494236,1.70676,1.073257,98,98,68
1.237619,1.075383,1.778404,1.097822,1.079628,90,90,69
1.209706,1.079731,1.642957,1.01065,1.066662,88,88,70
1.238159,1.07462,1.783288,1.104052,1.080188,90,90,71
1.21026,1.078853,1.648286,1.017601,1.067265,88,88,72
1.239882,1.074553,1.790979,1.114026,1.082021,90,90,73
1.21203,1.078772,1.656221,1.02795,1.069157,88,88,74
1.241016,1.074844,1.79492,1.119138,1.083224,90,90,75
1.33686,0.872969,2.883164,2.090092,1.103236,100,100,76
1.198702,1.08666,1.572173,0.949826,1.060773,88,88,77
1.199746,1.094693,1.549922,0.950057,1.067329,87,87,78
1.200053,1.086668,1.578004,0.957408,1.062214,88,88,79
1.201154,1.09467,1.556103,0.958172,1.068846,87,87,80
1.201819,1.086627,1.585793,0.967568,1.064102,88,88,81
1.202961,1.094593,1.564187,0.96872,1.070779,87,87,82
1.202572,1.086605,1.58913,0.97193,1.064909,88,88,83
1.203669,1.094544,1.567419,0.972986,1.071546,87,87,84
1.3965,1.348835,1.555382,0.770518,1.239424,88,88,85
1.296537,1.116733,1.895885,1.074806,1.108801,93,93,86
1.400912,1.354627,1.555197,0.769695,1.243964,88,88,87
1.296837,1.117143,1.895816,1.074413,1.109059,93,93,88
1.408725,1.364733,1.555366,0.769027,1.252032,88,88,89
1.297336,1.117772,1.895882,1.073985,1.109488,93,93,90
1.412491,1.369469,1.555898,0.769162,1.255897,88,88,91
1.297615,1.118085,1.896048,1.073912,1.109728,93,93,92
1.235522,1.015672,1.968354,1.16254,1.043458,93,93,93
1.332164,0.878024,2.845965,2.026814,1.095363,99,99,94
1.235064,1.015402,1.96727,1.161319,1.043008,93,93,95
1.330777,0.877146,2.84288,2.023015,1.093932,99,99,96
1.234257,1.01473,1.966011,1.159903,1.042196,93,93,97
1.328271,0.8748,2.839841,2.019326,1.091332,99,99,98
1.233793,1.014258,1.965577,1.159426,1.041722,93,93,99
1.327251,0.873753,2.83891,2.018301,1.090289,99,99,100
1.358162,0.96229,2.677734,1.862301,1.132562,97,97,101
1.37153,0.922739,2.867499,2.073021,1.14036,97,97,102
1.357536,0.962001,2.675985,1.860138,1.131919,97,97,103
1.370753,0.922456,2.865078,2.069961,1.139551,97,97,104
1.356952,0.961189,2.676161,1.860421,1.131314,97,97,105
1.370137,0.921631,2.865155,2.070191,1.138926,97,97,106
1.356758,0.960837,2.676493,1.860903,1.13112,97,97,107
1.37001,0.921244,2.865896,2.071133,1.138791,97,97,108
1.420283,1.054967,2.638005,1.840769,1.203632,97,97,109
1.40117,1.042299,2.597409,1.835416,1.192348,96,96,110
1.420241,1.054975,2.637795,1.840512,1.20359,97,97,111
1.401141,1.04231,2.597246,1.835181,1.192313,96,96,112
1.420303,1.054977,2.638056,1.840873,1.20366,97,97,113
1.401234,1.042315,2.597631,1.835692,1.192413,96,96,114
1.420365,1.054972,2.638343,1.841256,1.203728,97,97,115
1.401315,1.042309,2.598004,1.83619,1.192502,96,96,116
1.386293,1.049651,2.508431,1.72435,1.177297,96,96,117
1.368786,1.041536,2.459619,1.716773,1.169283,95,95,118
1.38623,1.049653,2.508153,1.724014,1.177235,96,96,119
1.368703,1.041539,2.459251,1.716315,1.169199,95,95,120
1.386227,1.049659,2.50812,1.724039,1.177245,96,96,121
1.368744,1.041544,2.459413,1.716563,1.16925,95,95,122
1.386273,1.049661,2.508313,1.724281,1.177292,96,96,123
1.368799,1.041544,2.459647,1.716861,1.169307,95,95,124
1.405386,1.591674,0.784428,0.394661,1.365212,87,87,125
1.058242,1.034457,1.137527,0.676587,0.966752,80,80,126
1.124774,1.094878,1.224425,0.608579,1.002876,87,87,127
1.203601,1.139851,1.4161,0.736424,1.063527,88,88,128
1.408458,1.614221,0.722581,0.334481,1.372108,88,88,129
1.064797,1.033978,1.167527,0.716852,0.973981,80,80,130
1.125672,1.101084,1.207632,0.61068,1.008305,86,86,131
1.198189,1.136558,1.403626,0.731971,1.060014,88,88,132
1.884497,2.231276,0.728567,0.528924,1.909209,106,106,133
1.093038,1.013562,1.357954,1.063738,1.023055,77,77,134
1.06976,1.06102,1.098893,0.623321,0.978212,82,82,135
1.113134,1.089319,1.192514,0.705211,1.01665,83,83,136
2.472211,1.142583,6.904302,8.224114,2.482332,104,104,137
1.582345,1.102127,3.183073,3.531031,1.561649,75,75,138
1.249696,1.026726,1.992929,1.928413,1.197315,77,77,139
1.071262,1.039653,1.176629,0.78279,0.991057,80,80,140
3.628499,0.786989,13.1002,15.99336,3.66387,106,106,141
3.296388,2.115464,7.232801,8.525726,3.328216,87,87,142
2.948639,1.894159,6.463572,7.481336,2.951192,89,89,143
2.353359,1.347881,5.704952,6.418927,2.307268,94,94,144
1.040409,1.008558,1.14658,0.423698,0.897909,80,80,145
0.917777,0.900984,0.973753,0.397563,0.805742,66,66,146
1.065469,1.037318,1.159304,0.684511,0.970571,80,80,147
1.08317,1.036179,1.239807,0.80872,0.993146,80,80,148
1.138113,1.107383,1.240547,0.638726,1.018718,86,86,149
1.137666,1.102544,1.254741,0.65014,1.016954,86,86,150
1.205429,1.15437,1.375628,0.687987,1.066135,87,87,151
1.201558,1.15277,1.364185,0.677392,1.062834,88,88,152
1.076901,0.99127,1.362336,0.542103,0.906293,80,80,153
0.969033,0.920475,1.130894,0.386096,0.819376,72,72,154
1.071727,1.035432,1.192711,0.733088,0.978231,80,80,155
1.091756,1.035773,1.278367,0.859645,1.002451,80,80,156
1.136189,1.105476,1.238567,0.641409,1.017679,86,86,157
1.135672,1.100337,1.253457,0.653995,1.015894,86,86,158
1.199243,1.151294,1.359074,0.679613,1.062057,87,87,159
1.195769,1.149931,1.348563,0.669102,1.058964,88,88,160
1.001328,0.957348,1.147928,0.439582,0.859392,76,76,161
0.933148,0.897473,1.052067,0.527569,0.827491,66,66,162
1.108197,1.013584,1.423574,1.143117,1.03809,76,76,163
1.124907,1.017076,1.484342,1.222791,1.055995,77,77,164
1.084461,1.069706,1.133646,0.677281,0.995463,81,81,165
1.089295,1.068125,1.159862,0.705373,0.999497,82,82,166
1.100104,1.102377,1.092529,0.588387,1.005135,82,82,167
1.092518,1.094856,1.084723,0.566243,0.994848,82,82,168
1.204013,1.059618,1.685329,0.890088,1.027545,89,89,169
1.176564,1.050388,1.59715,0.862859,1.014909,86,86,170
1.619519,1.114095,3.304266,3.677529,1.599069,75,75,171
1.657705,1.119769,3.450825,3.867468,1.639604,76,76,172
1.331903,1.034925,2.32183,2.344538,1.28269,77,77,173
1.365342,1.037796,2.457163,2.519618,1.318141,77,77,174
1.142887,1.04846,1.457647,1.149468,1.067569,80,80,175
1.16465,1.048935,1.550369,1.265265,1.089862,80,80,176
1.21516,1.115079,1.548761,0.838053,1.062669,90,90,177
1.22653,1.125041,1.56483,0.882151,1.079089,89,89,178
3.36341,2.200189,7.240815,8.525884,3.396942,88,88,179
3.418255,2.219188,7.415142,8.751526,3.455036,88,88,180
3.158165,2.075471,6.767143,7.865468,3.170876,90,90,181
3.217754,2.097432,6.952162,8.103921,3.233794,90,90,182
2.89856,1.798419,6.565697,7.532284,2.883204,97,97,183
2.967527,1.824815,6.776565,7.797877,2.954854,98,98,184
1.269633,1.201184,1.497795,0.763207,1.118323,92,92,185
1.282328,1.10749,1.865122,1.055629,1.097679,93,93,186
1.41888,1.289391,1.850512,1.267477,1.285245,91,91,187
1.39325,1.149271,2.206513,1.5098,1.21748,93,93,188
1.461178,1.339077,1.868183,1.353085,1.341727,89,89,189
1.426215,1.162818,2.304204,1.655298,1.25599,93,93,190
1.499165,1.397858,1.836854,1.334227,1.38582,87,87,191
1.431272,1.171297,2.297857,1.657894,1.263356,92,92,192
1.256782,1.04574,1.960258,1.137684,1.063135,92,92,193
1.400464,0.941188,2.931384,2.033065,1.147759,96,96,194
1.29115,1.059624,2.062901,1.293548,1.10388,92,92,195
1.366996,0.91054,2.888515,1.921335,1.101771,97,97,196
1.297258,1.072842,2.045313,1.328465,1.121203,91,91,197
1.380343,0.881611,3.042783,2.06823,1.106106,99,99,198
1.290298,1.076014,2.004575,1.308542,1.120006,91,91,199
1.371881,0.859378,3.080223,2.111274,1.096224,100,100,200
1.37105,0.978891,2.678247,1.8067,1.135504,96,96,201
1.391082,0.938489,2.899724,2.022318,1.143538,97,97,202
1.317653,0.954261,2.52896,1.607752,1.077895,96,96,203
1.304251,0.898726,2.656,1.684989,1.047479,97,97,204
1.315297,0.949543,2.534477,1.623492,1.077047,97,97,205
1.300178,0.88818,2.673506,1.692076,1.040268,98,98,206
1.313192,0.946568,2.535273,1.632909,1.076416,97,97,207
1.301335,0.886728,2.683361,1.70393,1.041334,98,98,208
1.41254,1.064214,2.573626,1.727159,1.189636,98,98,209
1.392968,1.054543,2.52105,1.693228,1.175375,97,97,210
1.324143,1.001063,2.401077,1.497612,1.095004,97,97,211
1.27209,0.966733,2.28995,1.38713,1.046267,96,96,212
1.316701,0.98908,2.408768,1.50555,1.086791,97,97,213
1.254427,0.947275,2.278266,1.367676,1.02681,96,96,214
1.317146,0.986462,2.419428,1.520732,1.08754,97,97,215
1.252315,0.942542,2.284894,1.376725,1.024684,96,96,216
1.375092,1.055602,2.44006,1.605383,1.159614,97,97,217
1.354945,1.049968,2.371537,1.560619,1.146578,96,96,218
1.282454,0.987622,2.265225,1.373923,1.060706,96,96,219
1.231303,0.955847,2.14949,1.270594,1.015394,95,95,220
1.270769,0.972211,2.265959,1.372519,1.047945,96,96,221
1.207679,0.932088,2.126319,1.242021,0.990724,95,95,222
1.271406,0.969986,2.276138,1.386142,1.048718,96,96,223
1.205208,0.927889,2.129607,1.248489,0.988543,95,95,224
1.003497,1.013493,0.970177,0.371267,0.891991,75,75,225
1.094155,1.018441,1.346535,1.040322,1.022581,76,76,226
1.103021,1.072148,1.205931,0.676075,0.997215,83,83,227
1.229065,1.144851,1.509778,0.801974,1.079983,89,89,228
1.001986,1.011241,0.971139,0.397953,0.895213,74,74,229
1.096958,1.018305,1.359134,1.056615,1.025553,76,76,230
1.102429,1.07152,1.205459,0.677615,0.996997,83,83,231
1.225781,1.143892,1.498746,0.79678,1.078222,89,89,232
1.02498,1.083233,0.830805,0.54622,0.981636,73,73,233
1.168685,1.022712,1.65526,1.481446,1.1095,75,75,234
1.08883,1.051414,1.213551,0.78837,1.001649,80,80,235
1.139647,1.106991,1.248499,0.697289,1.02948,84,84,236
2.188328,1.113861,5.769883,6.763145,2.182644,97,97,237
1.794394,1.232621,3.666973,4.175086,1.789303,75,75,238
1.373247,1.050944,2.447588,2.516079,1.328132,76,76,239
1.112169,1.028508,1.391039,1.015833,1.02611,80,80,240
3.148175,0.995138,10.32496,12.47247,3.166526,93,93,241
3.200202,2.238463,6.405997,7.504371,3.234716,83,83,242
2.879381,2.061758,5.604792,6.418716,2.886047,84,84,243
2.366305,1.673439,4.675858,5.126349,2.326692,86,86,244
1.121005,1.030607,1.422331,0.570281,0.943518,83,83,245
0.992077,0.932618,1.190274,0.402807,0.832383,70,70,246
1.097548,1.018526,1.360955,1.056265,1.025666,75,75,247
1.102349,1.019204,1.3795,1.082309,1.031143,76,76,248
