chi_full(39),chi_nircam(30),chi_miri(9),chi_miri_wo_shadow(7),chi_full_wo_shadow(37),nircam_offset,run
308.724195,48.24744,260.47674,209.13522,257.382656,175,blackbody_0.9.dat
313.045863,48.43776,264.6081,212.67729,261.115068,175,blackbody_0.91.dat
317.357781,48.61812,268.73964,216.22097,264.839118,176,blackbody_0.92.dat
321.672585,48.80136,272.87127,219.76598,268.567349,177,blackbody_0.93.dat
325.990626,48.98796,277.00263,223.31225,272.300205,178,blackbody_0.94.dat
330.312216,49.17846,281.13372,226.8595,276.037945,179,blackbody_0.95.dat
334.637706,49.37331,285.26445,230.40766,279.780939,180,blackbody_0.96.dat
338.949273,49.55481,289.39446,233.95652,283.511316,180,blackbody_0.97.dat
343.360797,49.83702,293.52375,237.50594,287.342962,180,blackbody_0.98.dat
347.869977,50.21784,297.65214,241.05578,291.27362,180,blackbody_0.99.dat
352.474707,50.69514,301.77954,244.60597,295.301107,180,blackbody_1.0.dat
