H,N,C,O,P,S,Si,Ti,H+N,C+O,S+P,Si+Ti,H/N,C/O,S/P,Si/Ti,comp_number
0.399495,0.399495,4.12E-06,5.88E-06,0.00198,0.19802,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,1,0.7,100,10,1671
0.399495,0.399495,4.12E-06,5.88E-06,0.00198,0.19802,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,1,0.7,100,100,1672
0.399495,0.399495,5.00E-06,5.00E-06,0.1998,0.0002,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,1,1,0.001,10,1673
0.399495,0.399495,5.00E-06,5.00E-06,0.1998,0.0002,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,1,1,0.001,100,1674
0.399495,0.399495,5.00E-06,5.00E-06,0.1,0.1,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,1,1,1,10,1675
0.399495,0.399495,5.00E-06,5.00E-06,0.1,0.1,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,1,1,1,100,1676
0.399495,0.399495,5.00E-06,5.00E-06,0.018182,0.181818,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,1,1,10,10,1677
0.399495,0.399495,5.00E-06,5.00E-06,0.018182,0.181818,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,1,1,10,100,1678
0.399495,0.399495,5.00E-06,5.00E-06,0.00198,0.19802,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,1,1,100,10,1679
0.399495,0.399495,5.00E-06,5.00E-06,0.00198,0.19802,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,1,1,100,100,1680
0.399495,0.399495,8.33E-06,1.67E-06,0.1998,0.0002,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,1,5,0.001,10,1681
0.399495,0.399495,8.33E-06,1.67E-06,0.1998,0.0002,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,1,5,0.001,100,1682
0.399495,0.399495,8.33E-06,1.67E-06,0.1,0.1,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,1,5,1,10,1683
0.399495,0.399495,8.33E-06,1.67E-06,0.1,0.1,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,1,5,1,100,1684
0.399495,0.399495,8.33E-06,1.67E-06,0.018182,0.181818,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,1,5,10,10,1685
0.399495,0.399495,8.33E-06,1.67E-06,0.018182,0.181818,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,1,5,10,100,1686
0.399495,0.399495,8.33E-06,1.67E-06,0.00198,0.19802,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,1,5,100,10,1687
0.399495,0.399495,8.33E-06,1.67E-06,0.00198,0.19802,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,1,5,100,100,1688
0.399495,0.399495,9.09E-06,9.09E-07,0.1998,0.0002,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,1,10,0.001,10,1689
0.399495,0.399495,9.09E-06,9.09E-07,0.1998,0.0002,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,1,10,0.001,100,1690
0.399495,0.399495,9.09E-06,9.09E-07,0.1,0.1,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,1,10,1,10,1691
0.399495,0.399495,9.09E-06,9.09E-07,0.1,0.1,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,1,10,1,100,1692
0.399495,0.399495,9.09E-06,9.09E-07,0.018182,0.181818,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,1,10,10,10,1693
0.399495,0.399495,9.09E-06,9.09E-07,0.018182,0.181818,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,1,10,10,100,1694
0.399495,0.399495,9.09E-06,9.09E-07,0.00198,0.19802,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,1,10,100,10,1695
0.399495,0.399495,9.09E-06,9.09E-07,0.00198,0.19802,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,1,10,100,100,1696
0.007911,0.791079,9.99E-09,9.99E-06,0.1998,0.0002,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,100,0.001,0.001,10,1697
0.007911,0.791079,9.99E-09,9.99E-06,0.1998,0.0002,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,100,0.001,0.001,100,1698
0.007911,0.791079,9.99E-09,9.99E-06,0.1,0.1,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,100,0.001,1,10,1699
0.007911,0.791079,9.99E-09,9.99E-06,0.1,0.1,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,100,0.001,1,100,1700
0.007911,0.791079,9.99E-09,9.99E-06,0.018182,0.181818,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,100,0.001,10,10,1701
0.007911,0.791079,9.99E-09,9.99E-06,0.018182,0.181818,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,100,0.001,10,100,1702
0.007911,0.791079,9.99E-09,9.99E-06,0.00198,0.19802,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,100,0.001,100,10,1703
0.007911,0.791079,9.99E-09,9.99E-06,0.00198,0.19802,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,100,0.001,100,100,1704
0.007911,0.791079,9.09E-07,9.09E-06,0.1998,0.0002,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,100,0.1,0.001,10,1705
0.007911,0.791079,9.09E-07,9.09E-06,0.1998,0.0002,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,100,0.1,0.001,100,1706
0.007911,0.791079,9.09E-07,9.09E-06,0.1,0.1,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,100,0.1,1,10,1707
0.007911,0.791079,9.09E-07,9.09E-06,0.1,0.1,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,100,0.1,1,100,1708
0.007911,0.791079,9.09E-07,9.09E-06,0.018182,0.181818,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,100,0.1,10,10,1709
0.007911,0.791079,9.09E-07,9.09E-06,0.018182,0.181818,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,100,0.1,10,100,1710
0.007911,0.791079,9.09E-07,9.09E-06,0.00198,0.19802,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,100,0.1,100,10,1711
0.007911,0.791079,9.09E-07,9.09E-06,0.00198,0.19802,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,100,0.1,100,100,1712
0.007911,0.791079,2.31E-06,7.69E-06,0.1998,0.0002,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,100,0.3,0.001,10,1713
0.007911,0.791079,2.31E-06,7.69E-06,0.1998,0.0002,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,100,0.3,0.001,100,1714
0.007911,0.791079,2.31E-06,7.69E-06,0.1,0.1,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,100,0.3,1,10,1715
0.007911,0.791079,2.31E-06,7.69E-06,0.1,0.1,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,100,0.3,1,100,1716
0.007911,0.791079,2.31E-06,7.69E-06,0.018182,0.181818,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,100,0.3,10,10,1717
0.007911,0.791079,2.31E-06,7.69E-06,0.018182,0.181818,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,100,0.3,10,100,1718
0.007911,0.791079,2.31E-06,7.69E-06,0.00198,0.19802,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,100,0.3,100,10,1719
0.007911,0.791079,2.31E-06,7.69E-06,0.00198,0.19802,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,100,0.3,100,100,1720
0.007911,0.791079,3.33E-06,6.67E-06,0.1998,0.0002,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,100,0.5,0.001,10,1721
0.007911,0.791079,3.33E-06,6.67E-06,0.1998,0.0002,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,100,0.5,0.001,100,1722
0.007911,0.791079,3.33E-06,6.67E-06,0.1,0.1,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,100,0.5,1,10,1723
0.007911,0.791079,3.33E-06,6.67E-06,0.1,0.1,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,100,0.5,1,100,1724
0.007911,0.791079,3.33E-06,6.67E-06,0.018182,0.181818,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,100,0.5,10,10,1725
0.007911,0.791079,3.33E-06,6.67E-06,0.018182,0.181818,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,100,0.5,10,100,1726
0.007911,0.791079,3.33E-06,6.67E-06,0.00198,0.19802,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,100,0.5,100,10,1727
0.007911,0.791079,3.33E-06,6.67E-06,0.00198,0.19802,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,100,0.5,100,100,1728
0.007911,0.791079,4.12E-06,5.88E-06,0.1998,0.0002,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,100,0.7,0.001,10,1729
0.007911,0.791079,4.12E-06,5.88E-06,0.1998,0.0002,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,100,0.7,0.001,100,1730
0.007911,0.791079,4.12E-06,5.88E-06,0.1,0.1,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,100,0.7,1,10,1731
0.007911,0.791079,4.12E-06,5.88E-06,0.1,0.1,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,100,0.7,1,100,1732
0.007911,0.791079,4.12E-06,5.88E-06,0.018182,0.181818,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,100,0.7,10,10,1733
0.007911,0.791079,4.12E-06,5.88E-06,0.018182,0.181818,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,100,0.7,10,100,1734
0.007911,0.791079,4.12E-06,5.88E-06,0.00198,0.19802,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,100,0.7,100,10,1735
0.007911,0.791079,4.12E-06,5.88E-06,0.00198,0.19802,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,100,0.7,100,100,1736
0.007911,0.791079,5.00E-06,5.00E-06,0.1998,0.0002,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,100,1,0.001,10,1737
0.007911,0.791079,5.00E-06,5.00E-06,0.1998,0.0002,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,100,1,0.001,100,1738
0.007911,0.791079,5.00E-06,5.00E-06,0.1,0.1,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,100,1,1,10,1739
0.007911,0.791079,5.00E-06,5.00E-06,0.1,0.1,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,100,1,1,100,1740
0.007911,0.791079,5.00E-06,5.00E-06,0.018182,0.181818,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,100,1,10,10,1741
0.007911,0.791079,5.00E-06,5.00E-06,0.018182,0.181818,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,100,1,10,100,1742
0.007911,0.791079,5.00E-06,5.00E-06,0.00198,0.19802,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,100,1,100,10,1743
0.007911,0.791079,5.00E-06,5.00E-06,0.00198,0.19802,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,100,1,100,100,1744
0.007911,0.791079,8.33E-06,1.67E-06,0.1998,0.0002,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,100,5,0.001,10,1745
0.007911,0.791079,8.33E-06,1.67E-06,0.1998,0.0002,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,100,5,0.001,100,1746
0.007911,0.791079,8.33E-06,1.67E-06,0.1,0.1,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,100,5,1,10,1747
0.007911,0.791079,8.33E-06,1.67E-06,0.1,0.1,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,100,5,1,100,1748
0.007911,0.791079,8.33E-06,1.67E-06,0.018182,0.181818,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,100,5,10,10,1749
0.007911,0.791079,8.33E-06,1.67E-06,0.018182,0.181818,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,100,5,10,100,1750
0.007911,0.791079,8.33E-06,1.67E-06,0.00198,0.19802,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,100,5,100,10,1751
0.007911,0.791079,8.33E-06,1.67E-06,0.00198,0.19802,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,100,5,100,100,1752
0.007911,0.791079,9.09E-06,9.09E-07,0.1998,0.0002,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,100,10,0.001,10,1753
0.007911,0.791079,9.09E-06,9.09E-07,0.1998,0.0002,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,100,10,0.001,100,1754
0.007911,0.791079,9.09E-06,9.09E-07,0.1,0.1,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,100,10,1,10,1755
0.007911,0.791079,9.09E-06,9.09E-07,0.1,0.1,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,100,10,1,100,1756
0.007911,0.791079,9.09E-06,9.09E-07,0.018182,0.181818,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,100,10,10,10,1757
0.007911,0.791079,9.09E-06,9.09E-07,0.018182,0.181818,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,100,10,10,100,1758
0.007911,0.791079,9.09E-06,9.09E-07,0.00198,0.19802,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,100,10,100,10,1759
0.007911,0.791079,9.09E-06,9.09E-07,0.00198,0.19802,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,100,10,100,100,1760
7.99E-09,0.79899,9.99E-09,9.99E-06,0.1998,0.0002,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,1.00E+08,0.001,0.001,10,1761
7.99E-09,0.79899,9.99E-09,9.99E-06,0.1998,0.0002,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,1.00E+08,0.001,0.001,100,1762
7.99E-09,0.79899,9.99E-09,9.99E-06,0.1,0.1,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,1.00E+08,0.001,1,10,1763
7.99E-09,0.79899,9.99E-09,9.99E-06,0.1,0.1,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,1.00E+08,0.001,1,100,1764
7.99E-09,0.79899,9.99E-09,9.99E-06,0.018182,0.181818,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,1.00E+08,0.001,10,10,1765
7.99E-09,0.79899,9.99E-09,9.99E-06,0.018182,0.181818,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,1.00E+08,0.001,10,100,1766
7.99E-09,0.79899,9.99E-09,9.99E-06,0.00198,0.19802,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,1.00E+08,0.001,100,10,1767
7.99E-09,0.79899,9.99E-09,9.99E-06,0.00198,0.19802,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,1.00E+08,0.001,100,100,1768
7.99E-09,0.79899,9.09E-07,9.09E-06,0.1998,0.0002,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,1.00E+08,0.1,0.001,10,1769
7.99E-09,0.79899,9.09E-07,9.09E-06,0.1998,0.0002,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,1.00E+08,0.1,0.001,100,1770
7.99E-09,0.79899,9.09E-07,9.09E-06,0.1,0.1,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,1.00E+08,0.1,1,10,1771
7.99E-09,0.79899,9.09E-07,9.09E-06,0.1,0.1,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,1.00E+08,0.1,1,100,1772
7.99E-09,0.79899,9.09E-07,9.09E-06,0.018182,0.181818,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,1.00E+08,0.1,10,10,1773
7.99E-09,0.79899,9.09E-07,9.09E-06,0.018182,0.181818,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,1.00E+08,0.1,10,100,1774
7.99E-09,0.79899,9.09E-07,9.09E-06,0.00198,0.19802,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,1.00E+08,0.1,100,10,1775
7.99E-09,0.79899,9.09E-07,9.09E-06,0.00198,0.19802,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,1.00E+08,0.1,100,100,1776
7.99E-09,0.79899,2.31E-06,7.69E-06,0.1998,0.0002,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,1.00E+08,0.3,0.001,10,1777
7.99E-09,0.79899,2.31E-06,7.69E-06,0.1998,0.0002,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,1.00E+08,0.3,0.001,100,1778
7.99E-09,0.79899,2.31E-06,7.69E-06,0.1,0.1,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,1.00E+08,0.3,1,10,1779
7.99E-09,0.79899,2.31E-06,7.69E-06,0.1,0.1,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,1.00E+08,0.3,1,100,1780
7.99E-09,0.79899,2.31E-06,7.69E-06,0.018182,0.181818,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,1.00E+08,0.3,10,10,1781
7.99E-09,0.79899,2.31E-06,7.69E-06,0.018182,0.181818,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,1.00E+08,0.3,10,100,1782
7.99E-09,0.79899,2.31E-06,7.69E-06,0.00198,0.19802,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,1.00E+08,0.3,100,10,1783
7.99E-09,0.79899,2.31E-06,7.69E-06,0.00198,0.19802,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,1.00E+08,0.3,100,100,1784
7.99E-09,0.79899,3.33E-06,6.67E-06,0.1998,0.0002,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,1.00E+08,0.5,0.001,10,1785
7.99E-09,0.79899,3.33E-06,6.67E-06,0.1998,0.0002,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,1.00E+08,0.5,0.001,100,1786
7.99E-09,0.79899,3.33E-06,6.67E-06,0.1,0.1,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,1.00E+08,0.5,1,10,1787
7.99E-09,0.79899,3.33E-06,6.67E-06,0.1,0.1,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,1.00E+08,0.5,1,100,1788
7.99E-09,0.79899,3.33E-06,6.67E-06,0.018182,0.181818,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,1.00E+08,0.5,10,10,1789
7.99E-09,0.79899,3.33E-06,6.67E-06,0.018182,0.181818,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,1.00E+08,0.5,10,100,1790
7.99E-09,0.79899,3.33E-06,6.67E-06,0.00198,0.19802,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,1.00E+08,0.5,100,10,1791
7.99E-09,0.79899,3.33E-06,6.67E-06,0.00198,0.19802,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,1.00E+08,0.5,100,100,1792
7.99E-09,0.79899,4.12E-06,5.88E-06,0.1998,0.0002,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,1.00E+08,0.7,0.001,10,1793
7.99E-09,0.79899,4.12E-06,5.88E-06,0.1998,0.0002,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,1.00E+08,0.7,0.001,100,1794
7.99E-09,0.79899,4.12E-06,5.88E-06,0.1,0.1,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,1.00E+08,0.7,1,10,1795
7.99E-09,0.79899,4.12E-06,5.88E-06,0.1,0.1,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,1.00E+08,0.7,1,100,1796
7.99E-09,0.79899,4.12E-06,5.88E-06,0.018182,0.181818,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,1.00E+08,0.7,10,10,1797
7.99E-09,0.79899,4.12E-06,5.88E-06,0.018182,0.181818,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,1.00E+08,0.7,10,100,1798
7.99E-09,0.79899,4.12E-06,5.88E-06,0.00198,0.19802,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,1.00E+08,0.7,100,10,1799
7.99E-09,0.79899,4.12E-06,5.88E-06,0.00198,0.19802,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,1.00E+08,0.7,100,100,1800
7.99E-09,0.79899,5.00E-06,5.00E-06,0.1998,0.0002,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,1.00E+08,1,0.001,10,1801
7.99E-09,0.79899,5.00E-06,5.00E-06,0.1998,0.0002,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,1.00E+08,1,0.001,100,1802
7.99E-09,0.79899,5.00E-06,5.00E-06,0.1,0.1,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,1.00E+08,1,1,10,1803
7.99E-09,0.79899,5.00E-06,5.00E-06,0.1,0.1,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,1.00E+08,1,1,100,1804
7.99E-09,0.79899,5.00E-06,5.00E-06,0.018182,0.181818,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,1.00E+08,1,10,10,1805
7.99E-09,0.79899,5.00E-06,5.00E-06,0.018182,0.181818,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,1.00E+08,1,10,100,1806
7.99E-09,0.79899,5.00E-06,5.00E-06,0.00198,0.19802,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,1.00E+08,1,100,10,1807
7.99E-09,0.79899,5.00E-06,5.00E-06,0.00198,0.19802,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,1.00E+08,1,100,100,1808
7.99E-09,0.79899,8.33E-06,1.67E-06,0.1998,0.0002,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,1.00E+08,5,0.001,10,1809
7.99E-09,0.79899,8.33E-06,1.67E-06,0.1998,0.0002,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,1.00E+08,5,0.001,100,1810
7.99E-09,0.79899,8.33E-06,1.67E-06,0.1,0.1,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,1.00E+08,5,1,10,1811
7.99E-09,0.79899,8.33E-06,1.67E-06,0.1,0.1,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,1.00E+08,5,1,100,1812
7.99E-09,0.79899,8.33E-06,1.67E-06,0.018182,0.181818,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,1.00E+08,5,10,10,1813
7.99E-09,0.79899,8.33E-06,1.67E-06,0.018182,0.181818,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,1.00E+08,5,10,100,1814
7.99E-09,0.79899,8.33E-06,1.67E-06,0.00198,0.19802,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,1.00E+08,5,100,10,1815
7.99E-09,0.79899,8.33E-06,1.67E-06,0.00198,0.19802,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,1.00E+08,5,100,100,1816
7.99E-09,0.79899,9.09E-06,9.09E-07,0.1998,0.0002,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,1.00E+08,10,0.001,10,1817
7.99E-09,0.79899,9.09E-06,9.09E-07,0.1998,0.0002,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,1.00E+08,10,0.001,100,1818
7.99E-09,0.79899,9.09E-06,9.09E-07,0.1,0.1,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,1.00E+08,10,1,10,1819
7.99E-09,0.79899,9.09E-06,9.09E-07,0.1,0.1,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,1.00E+08,10,1,100,1820
7.99E-09,0.79899,9.09E-06,9.09E-07,0.018182,0.181818,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,1.00E+08,10,10,10,1821
7.99E-09,0.79899,9.09E-06,9.09E-07,0.018182,0.181818,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,1.00E+08,10,10,100,1822
7.99E-09,0.79899,9.09E-06,9.09E-07,0.00198,0.19802,0.000909,9.09E-05,0.79899,1.00E-05,0.2,0.001,1.00E+08,10,100,10,1823
7.99E-09,0.79899,9.09E-06,9.09E-07,0.00198,0.19802,0.00099,9.90E-06,0.79899,1.00E-05,0.2,0.001,1.00E+08,10,100,100,1824
0.49994,5.00E-05,9.99E-09,9.99E-06,0.1998,0.0002,0.272727,0.027273,0.49999,1.00E-05,0.2,0.3,0.0001,0.001,0.001,10,1825
0.49994,5.00E-05,9.99E-09,9.99E-06,0.1998,0.0002,0.29703,0.00297,0.49999,1.00E-05,0.2,0.3,0.0001,0.001,0.001,100,1826
0.49994,5.00E-05,9.99E-09,9.99E-06,0.1,0.1,0.272727,0.027273,0.49999,1.00E-05,0.2,0.3,0.0001,0.001,1,10,1827
0.49994,5.00E-05,9.99E-09,9.99E-06,0.1,0.1,0.29703,0.00297,0.49999,1.00E-05,0.2,0.3,0.0001,0.001,1,100,1828
0.49994,5.00E-05,9.99E-09,9.99E-06,0.018182,0.181818,0.272727,0.027273,0.49999,1.00E-05,0.2,0.3,0.0001,0.001,10,10,1829
0.49994,5.00E-05,9.99E-09,9.99E-06,0.018182,0.181818,0.29703,0.00297,0.49999,1.00E-05,0.2,0.3,0.0001,0.001,10,100,1830
0.49994,5.00E-05,9.99E-09,9.99E-06,0.00198,0.19802,0.272727,0.027273,0.49999,1.00E-05,0.2,0.3,0.0001,0.001,100,10,1831
0.49994,5.00E-05,9.99E-09,9.99E-06,0.00198,0.19802,0.29703,0.00297,0.49999,1.00E-05,0.2,0.3,0.0001,0.001,100,100,1832
0.49994,5.00E-05,9.09E-07,9.09E-06,0.1998,0.0002,0.272727,0.027273,0.49999,1.00E-05,0.2,0.3,0.0001,0.1,0.001,10,1833
0.49994,5.00E-05,9.09E-07,9.09E-06,0.1998,0.0002,0.29703,0.00297,0.49999,1.00E-05,0.2,0.3,0.0001,0.1,0.001,100,1834
0.49994,5.00E-05,9.09E-07,9.09E-06,0.1,0.1,0.272727,0.027273,0.49999,1.00E-05,0.2,0.3,0.0001,0.1,1,10,1835
0.49994,5.00E-05,9.09E-07,9.09E-06,0.1,0.1,0.29703,0.00297,0.49999,1.00E-05,0.2,0.3,0.0001,0.1,1,100,1836
0.49994,5.00E-05,9.09E-07,9.09E-06,0.018182,0.181818,0.272727,0.027273,0.49999,1.00E-05,0.2,0.3,0.0001,0.1,10,10,1837
0.49994,5.00E-05,9.09E-07,9.09E-06,0.018182,0.181818,0.29703,0.00297,0.49999,1.00E-05,0.2,0.3,0.0001,0.1,10,100,1838
0.49994,5.00E-05,9.09E-07,9.09E-06,0.00198,0.19802,0.272727,0.027273,0.49999,1.00E-05,0.2,0.3,0.0001,0.1,100,10,1839
0.49994,5.00E-05,9.09E-07,9.09E-06,0.00198,0.19802,0.29703,0.00297,0.49999,1.00E-05,0.2,0.3,0.0001,0.1,100,100,1840
0.49994,5.00E-05,2.31E-06,7.69E-06,0.1998,0.0002,0.272727,0.027273,0.49999,1.00E-05,0.2,0.3,0.0001,0.3,0.001,10,1841
