H,N,C,O,P,S,Si,Ti,H+N,C+O,S+P,Si+Ti,H/N,C/O,S/P,Si/Ti,comp_number
0.69993,7.00E-05,9.99E-24,9.99E-21,9.99E-21,9.99E-24,0.29703,0.00297,0.7,1.00E-20,1.00E-20,0.3,1.00E-04,0.001,0.001,100,16
0.693069,0.006931,9.99E-24,9.99E-21,9.99E-21,9.99E-24,0.272727,0.027273,0.7,1.00E-20,1.00E-20,0.3,0.01,0.001,0.001,10,17
0.693069,0.006931,9.99E-24,9.99E-21,9.99E-21,9.99E-24,0.29703,0.00297,0.7,1.00E-20,1.00E-20,0.3,0.01,0.001,0.001,100,18
0.35,0.35,9.99E-24,9.99E-21,9.99E-21,9.99E-24,0.272727,0.027273,0.7,1.00E-20,1.00E-20,0.3,1,0.001,0.001,10,19
0.35,0.35,9.99E-24,9.99E-21,9.99E-21,9.99E-24,0.29703,0.00297,0.7,1.00E-20,1.00E-20,0.3,1,0.001,0.001,100,20
0.006931,0.693069,9.99E-24,9.99E-21,9.99E-21,9.99E-24,0.272727,0.027273,0.7,1.00E-20,1.00E-20,0.3,100,0.001,0.001,10,21
0.006931,0.693069,9.99E-24,9.99E-21,9.99E-21,9.99E-24,0.29703,0.00297,0.7,1.00E-20,1.00E-20,0.3,100,0.001,0.001,100,22
7.00E-09,0.7,9.99E-24,9.99E-21,9.99E-21,9.99E-24,0.272727,0.027273,0.7,1.00E-20,1.00E-20,0.3,1.00E+08,0.001,0.001,10,23
7.00E-09,0.7,9.99E-24,9.99E-21,9.99E-21,9.99E-24,0.29703,0.00297,0.7,1.00E-20,1.00E-20,0.3,1.00E+08,0.001,0.001,100,24
0.99989,1.00E-04,9.99E-24,9.99E-21,9.99E-06,9.99E-09,9.09E-21,9.09E-22,0.99999,1.00E-20,1.00E-05,1.00E-20,1.00E-04,0.001,0.001,10,25
0.99989,1.00E-04,9.99E-24,9.99E-21,5.00E-06,5.00E-06,9.09E-21,9.09E-22,0.99999,1.00E-20,1.00E-05,1.00E-20,1.00E-04,0.001,1,10,26
0.99989,1.00E-04,9.99E-24,9.99E-21,9.09E-07,9.09E-06,9.09E-21,9.09E-22,0.99999,1.00E-20,1.00E-05,1.00E-20,1.00E-04,0.001,10,10,27
0.99989,1.00E-04,9.99E-24,9.99E-21,9.90E-08,9.90E-06,9.09E-21,9.09E-22,0.99999,1.00E-20,1.00E-05,1.00E-20,1.00E-04,0.001,100,10,28
0.990089,0.009901,9.99E-24,9.99E-21,9.99E-06,9.99E-09,9.09E-21,9.09E-22,0.99999,1.00E-20,1.00E-05,1.00E-20,0.01,0.001,0.001,10,29
0.990089,0.009901,9.99E-24,9.99E-21,5.00E-06,5.00E-06,9.09E-21,9.09E-22,0.99999,1.00E-20,1.00E-05,1.00E-20,0.01,0.001,1,10,30
0.990089,0.009901,9.99E-24,9.99E-21,9.09E-07,9.09E-06,9.09E-21,9.09E-22,0.99999,1.00E-20,1.00E-05,1.00E-20,0.01,0.001,10,10,31
0.990089,0.009901,9.99E-24,9.99E-21,9.90E-08,9.90E-06,9.09E-21,9.09E-22,0.99999,1.00E-20,1.00E-05,1.00E-20,0.01,0.001,100,10,32
0.499995,0.499995,9.99E-24,9.99E-21,9.99E-06,9.99E-09,9.09E-21,9.09E-22,0.99999,1.00E-20,1.00E-05,1.00E-20,1,0.001,0.001,10,33
0.499995,0.499995,9.99E-24,9.99E-21,5.00E-06,5.00E-06,9.09E-21,9.09E-22,0.99999,1.00E-20,1.00E-05,1.00E-20,1,0.001,1,10,34
0.499995,0.499995,9.99E-24,9.99E-21,9.09E-07,9.09E-06,9.09E-21,9.09E-22,0.99999,1.00E-20,1.00E-05,1.00E-20,1,0.001,10,10,35
0.499995,0.499995,9.99E-24,9.99E-21,9.90E-08,9.90E-06,9.09E-21,9.09E-22,0.99999,1.00E-20,1.00E-05,1.00E-20,1,0.001,100,10,36
0.009901,0.990089,9.99E-24,9.99E-21,9.99E-06,9.99E-09,9.09E-21,9.09E-22,0.99999,1.00E-20,1.00E-05,1.00E-20,100,0.001,0.001,10,37
0.009901,0.990089,9.99E-24,9.99E-21,5.00E-06,5.00E-06,9.09E-21,9.09E-22,0.99999,1.00E-20,1.00E-05,1.00E-20,100,0.001,1,10,38
0.009901,0.990089,9.99E-24,9.99E-21,9.09E-07,9.09E-06,9.09E-21,9.09E-22,0.99999,1.00E-20,1.00E-05,1.00E-20,100,0.001,10,10,39
0.009901,0.990089,9.99E-24,9.99E-21,9.90E-08,9.90E-06,9.09E-21,9.09E-22,0.99999,1.00E-20,1.00E-05,1.00E-20,100,0.001,100,10,40
1.00E-08,0.99999,9.99E-24,9.99E-21,9.99E-06,9.99E-09,9.09E-21,9.09E-22,0.99999,1.00E-20,1.00E-05,1.00E-20,1.00E+08,0.001,0.001,10,41
1.00E-08,0.99999,9.99E-24,9.99E-21,5.00E-06,5.00E-06,9.09E-21,9.09E-22,0.99999,1.00E-20,1.00E-05,1.00E-20,1.00E+08,0.001,1,10,42
