chi_full(39),chi_nircam(30),chi_miri(9),chi_miri_wo_shadow(7),chi_full_wo_shadow(37),nircam_offset,run
302.688594,42.21186,260.47674,209.13522,251.347068,177,blackbody_0.9.dat
307.029411,42.42132,264.6081,212.67729,255.098646,178,blackbody_0.91.dat
311.378613,42.63897,268.73964,216.22097,258.859918,179,blackbody_0.92.dat
315.689439,42.81822,272.87127,219.76598,262.58419,179,blackbody_0.93.dat
320.002605,42.99996,277.00263,223.31225,266.312199,180,blackbody_0.94.dat
324.481872,43.34811,281.13372,226.8595,270.207596,180,blackbody_0.95.dat
329.169945,43.90551,285.26445,230.40766,274.313153,180,blackbody_0.96.dat
334.062144,44.66769,289.39446,233.95652,278.624208,180,blackbody_0.97.dat
339.153984,45.63024,293.52375,237.50594,283.136173,180,blackbody_0.98.dat
344.441097,46.78896,297.65214,241.05578,287.844756,180,blackbody_0.99.dat
349.919232,48.13965,301.77954,244.60597,292.745628,180,blackbody_1.0.dat
