# T(K)	P(bar)
901.1       	1e-08       
902.7157333780317	1.1885022274370215e-08
904.4045182946734	1.4125375446227554e-08
906.207183272353	1.6788040181225588e-08
908.1260667144298	1.9952623149688826e-08
910.034454320482	2.3713737056616554e-08
911.9558598782393	2.818382931264461e-08
913.9598111963263	3.3496543915782795e-08
916.1029627418505	3.981071705534969e-08
918.4517049971595	4.731512589614813e-08
920.9596857698516	5.6234132519034905e-08
923.6952583150813	6.683439175686162e-08
926.6490091525478	7.94328234724282e-08
929.8145390373106	9.440608762859226e-08
933.2014098527071	1.1220184543019653e-07
936.7651962928619	1.333521432163324e-07
940.5148875163035	1.584893192461114e-07
944.4843756258183	1.883649089489802e-07
948.680843595701	2.2387211385683422e-07
953.0684079941275	2.6607250597988136e-07
957.5310661019431	3.162277660168379e-07
962.2633159340044	3.7583740428844433e-07
967.2572458192469	4.466835921509635e-07
972.4952300848088	5.308844442309889e-07
977.8534641139001	6.309573444801942e-07
983.4448655380969	7.498942093324558e-07
989.3024739960207	8.912509381337459e-07
995.3864451280933	1.0592537251772896e-06
1001.6686138416103	1.2589254117941687e-06
1007.9503556024997	1.4962356560944327e-06
1014.3642607982185	1.7782794100389227e-06
1021.0179825424846	2.1134890398366474e-06
1027.9457252264174	2.511886431509582e-06
1035.1685484241723	2.9853826189179636e-06
1042.4720326664708	3.5481338923357534e-06
1050.203224120664	4.216965034285822e-06
1058.4102119786867	5.011872336272725e-06
1067.1334132010136	5.95662143529011e-06
1076.2460587185435	7.079457843841388e-06
1085.4738906500984	8.413951416451948e-06
1095.103093721565	1e-05       
1105.0728142434073	1.188502227437019e-05
1115.3111307595907	1.4125375446227555e-05
1125.6182200563571	1.678804018122562e-05
1136.1084138763601	1.9952623149688786e-05
1146.9528012840515	2.371373705661655e-05
1158.1466908935795	2.818382931264455e-05
1169.673072629513	3.349654391578279e-05
1180.9923830138587	3.981071705534977e-05
1192.5567591611978	4.731512589614803e-05
1204.3489754161828	5.623413251903491e-05
1216.3969704318174	6.683439175686148e-05
1228.7405666133145	7.943282347242821e-05
1240.982823427863	9.440608762859246e-05
1253.5681590191502	0.00011220184543019629
1266.473214479395	0.0001333521432163324
1279.6984358772283	0.00015848931924611142
1292.9065913248123	0.00018836490894898024
1306.1248022611387	0.00022387211385683424
1319.9322899599636	0.0002660725059798809
1334.5018134539957	0.0003162277660168379
1349.9779326858234	0.00037583740428844437
1365.790429757983	0.0004466835921509635
1382.2985549294049	0.0005308844442309889
1399.5341480727475	0.000630957344480193
1417.5201921774092	0.0007498942093324559
1436.3410597515185	0.0008912509381337458
1455.1005955155863	0.0010592537251772895
1474.6492899984373	0.0012589254117941673
1494.8926573318995	0.0014962356560944345
1515.751623087366	0.0017782794100389225
1536.9394015745806	0.0021134890398366475
1558.3752957261197	0.002511886431509582
1580.793202755727	0.0029853826189179603
1604.317712053587	0.0035481338923357567
1629.1056630102375	0.004216965034285822
1654.3024302861718	0.0050118723362727255
1680.5406717219853	0.005956621435290103
1708.5053694296757	0.00707945784384138
1738.440714258399	0.008413951416451957
1770.5      	0.01        
1804.0457025153225	0.01188502227437019
1840.2708974933585	0.014125375446227554
1879.4898688100259	0.016788040181225587
1921.8761539022028	0.01995262314968883
1966.8027787946799	0.023713737056616554
2013.3322778436482	0.02818382931264455
2060.3756575155057	0.033496543915782793
2106.096343279848	0.03981071705534969
2147.8710101238494	0.04731512589614813
2176.47766581237	0.056234132519034905
2195.590335767582	0.06683439175686148
2209.7732137505636	0.07943282347242821
2220.2250507254735	0.09440608762859228
2227.664738712645	0.11220184543019629
2233.454053800091	0.1333521432163324
2238.725899267639	0.1584893192461114
2243.6018035826437	0.18836490894898023
2248.1648282575975	0.22387211385683378
2252.4726187578704	0.26607250597988086
2256.0556731153342	0.3162277660168379
2259.1367640907124	0.3758374042884443
2261.7431212759834	0.4466835921509634
2263.9555992958853	0.5308844442309879
2265.925538277169	0.630957344480193
2267.5937284424663	0.7498942093324559
2269.508773656481	0.8912509381337458
2271.9190373700967	1.0592537251772898
2274.727187389312	1.2589254117941662
2273.4863495106174	1.4962356560944328
2270.5683436732334	1.7782794100389228
2266.9481027669854	2.1134890398366473
2263.341709909433	2.511886431509582
2260.4525806303313	2.9853826189179573
2258.5126229825078	3.548133892335753
2256.9370491666145	4.216965034285823
2255.6124705585157	5.011872336272725
2254.388104135502	5.956621435290109
2253.0410174068243	7.079457843841373
2251.107323692479	8.413951416451948
2248.3      	10.0        
