# T(K)	P(bar)
3028.8      	1e-08       
3006.3008135422947	1.2187420905610212e-08
2984.6263986864437	1.4853322833050426e-08
2959.473035392395	1.8102369721329556e-08
2929.4897993403038	2.2062119918281627e-08
2893.9188997844294	2.6888034151414498e-08
2852.4510915276724	3.27695789527709e-08
2805.418428775856	3.9937665159704296e-08
2753.399226049688	4.867371352886408e-08
2696.746702899051	5.9320703381535834e-08
2636.5675907748678	7.229663805276293e-08
2577.9860141848094	8.811095580095743e-08
2529.0393477286543	1.073845304741886e-07
2496.0458026944634	1.3087404716402578e-07
2476.85241975224	1.5950170984086583e-07
2464.32032113514	1.9439144729951428e-07
2453.94778547256	2.3691303886899165e-07
2444.230561319708	2.887358922723582e-07
2434.5320471497985	3.518945849680157e-07
2424.4884495729175	4.288687421410206e-07
2413.726297793674	5.22680387373221e-07
2401.983579735414	6.370125880024812e-07
2390.087651038601	7.763540532158304e-07
2376.7574693227375	9.461753618317797e-07
2363.7082141523942	1.1531437385161894e-06
2347.84005362042	1.4053848105965724e-06
2327.5330996926737	1.7128016221091644e-06
2302.984346459444	2.087463429645623e-06
2276.137374670506	2.544079544215981e-06
2251.039847731717	3.1005768222713025e-06
2232.1864067313554	3.7788034783199674e-06
2221.8185887059344	4.605386850986927e-06
2219.027779914474	5.612778798614024e-06
2219.78681674103	6.840529766879419e-06
2221.2243544594426	8.336841548631485e-06
2221.7      	1.0160459697655097e-05
2220.391250099831	1.2382979892981124e-05
2217.234140152276	1.5091658802146877e-05
2212.700677867035	1.8392839798562088e-05
2207.5420237541043	2.2416128027453422e-05
2202.661209521003	2.731947873446203e-05
2198.958618830807	3.3295398625875485e-05
2196.9607595760353	4.0578503727361963e-05
2196.6398377615874	4.945473046452311e-05
2197.51715570961	6.02725615944646e-05
2198.994956239352	7.345670772110557e-05
2200.560869470238	8.952478153374975e-05
2201.8160761749814	0.00010910761940346066
2202.587484029663	0.00013297404816790936
2202.9      	0.00016206106945451947
2202.7855760183697	0.00019751064658555552
2202.1581819920066	0.00024071453832773802
2200.870099589651	0.0002933689396699779
2199.075074829677	0.00035754107483905754
2196.2321777737575	0.0004357503570107867
2190.933656847011	0.0005310673010660354
2183.1665667764423	0.0006472340727298179
2173.0216175742667	0.000788811406881061
2160.0463347053005	0.0009613576630806007
2143.9281741864584	0.0011716470480797067
2125.7117478685013	0.0014279355727763057
2107.540275751809	0.0017402851851518405
2089.394267774979	0.0021209588047243198
2070.365357185676	0.002584901767663517
2055.3372186551665	0.003150328584217108
2043.7394146971865	0.0038394380446828847
2033.541811306262	0.004679284749156329
2023.789827771007	0.005702841277517065
2014.941200107116	0.00695029270069882
2007.0603995003103	0.008470614256060669
1999.1352244379325	0.01032349412676733
1990.6320039724162	0.012581676813950815
1982.8269042609859	0.015333819102997482
1976.0712939881698	0.01868797074987164
1969.5414746734564	0.02277581654004173
1963.470850357317	0.027757846264244636
1958.6972684060497	0.0338296555855568
1954.8805291523186	0.04122962517130074
1951.4590288196366	0.05024827957431828
1948.6340715609092	0.061239693295499074
1946.705443315755	0.07463539183227216
1945.3170443938998	0.09096129347150415
1944.1978446550388	0.1108583569655951
1943.5      	0.13510774572440878
1943.5      	0.16466149647515252
1943.9199004477769	0.2006798964490332
1944.5897757243686	0.244577036531863
1945.437719504858	0.29807632880606144
1946.285864347825	0.36327816811585295
1947.0105391591126	0.4427423940646909
1947.5397657596131	0.5395887909223908
1947.8771703326345	0.657619571092047
1948.116711976031	0.8014686508665619
1948.2      	0.976783579076231
1948.2      	1.19044726118904
1948.0227847533993	1.45084818380417
1947.9217053034115	1.7682097486161479
1947.968139744597	2.1549916455788174
1948.0      	2.6263790232742528
1948.0      	3.2008786614308695
1948.0390408210635	3.901045551464406
1948.1      	4.754368410765492
1948.079366279004	5.794348896233605
1948.0      	7.061816887235662
1948.0      	8.606533476308696
1948.0      	10.489144601399833
1948.0      	12.783562019706856
1948.0      	15.579865100713942
1948.0      	18.98783736350277
1948.0527200918887	23.14127660362799
1948.1      	28.20324782615631
1948.1      	34.37248521626025
1948.1      	41.891194490242654
1948.1155823935921	51.05456194913656
1948.2      	62.222343562567616
1948.2      	75.8329890730496
1948.2      	92.42085563637937
1948.2      	112.6371868097189
1948.2666978564962	137.27568052738854
1948.3      	167.3036498691364
1948.3      	203.89999999999958
